"CODPRO","GAMME"
"Code des Produits","Gamme Produit"
"151011","B"
"504035","B"
"469335","C"
"813558","B"
"814824","C"
"826461","B"
"813557","C"
"814496","C"
"806948","C"
"816163","C"
"469373","C"
"806955","B"
"823739","E"
"823706","E"
"440381","E"
"814571","C"
"814573","C"
"822750","C"
"816995","E"
"823707","E"
"450374","E"
"816994","E"
"816996","E"
"819930","C"
"825980","E"
"814574","C"
"822544","C"
"829320","C"
"829318","C"
"832449","C"
"832450","C"
"829611","B"
"829636","B"
"829630","B"
"829635","B"
"829638","B"
"829644","B"
"829642","B"
"829643","B"
"829641","B"
"829637","B"
"829640","C"
"829645","C"
"829615","C"
"829627","C"
"829631","C"
"829628","C"
"829629","C"
"829639","C"
"829646","C"
"811894","B"
"461912","B"
"461914","B"
"461843","B"
"811781","B"
"811772","B"
"461911","B"
"423881","B"
"494043","B"
"461909","B"
"461858","B"
"461861","B"
"461840","B"
"811870","B"
"423880","B"
"811787","C"
"811778","C"
"461849","B"
"461917","B"
"811763","B"
"461846","B"
"814585","C"
"811776","B"
"461913","C"
"461842","C"
"461860","C"
"461852","B"
"461864","B"
"423865","B"
"461845","C"
"423877","B"
"811779","B"
"811788","B"
"423885","B"
"814664","C"
"814588","C"
"811769","C"
"461848","C"
"814638","C"
"461915","B"
"494040","B"
"811785","B"
"811782","C"
"814582","C"
"821835","C"
"461910","C"
"811767","B"
"821837","C"
"814653","C"
"494047","B"
"423864","B"
"814668","C"
"811874","B"
"423884","B"
"814649","C"
"461855","B"
"811871","C"
"821836","C"
"818658","C"
"811876","C"
"814691","C"
"814644","C"
"811885","C"
"814634","C"
"461857","C"
"814591","C"
"811773","C"
"461851","C"
"494036","B"
"423876","C"
"461916","C"
"423869","B"
"461839","C"
"821832","C"
"814576","C"
"810012","C"
"821834","C"
"811877","B"
"461863","C"
"423873","C"
"814579","C"
"423861","B"
"461908","B"
"809983","C"
"809997","C"
"423860","B"
"815931","C"
"821838","C"
"818659","C"
"809982","C"
"811770","C"
"423889","B"
"423868","B"
"827241","C"
"461906","B"
"810000","C"
"814659","C"
"809998","C"
"815932","C"
"809992","C"
"810015","C"
"809985","C"
"815930","C"
"827243","C"
"494035","B"
"494044","C"
"818660","C"
"818657","C"
"811764","C"
"809986","C"
"810016","C"
"821833","C"
"461854","C"
"810007","C"
"810032","C"
"810001","C"
"811883","B"
"810013","C"
"810033","C"
"810036","C"
"827240","C"
"809977","C"
"821831","C"
"827242","C"
"461907","C"
"423872","B"
"814696","C"
"494032","B"
"818656","C"
"811880","C"
"827239","C"
"809968","C"
"814674","C"
"827259","C"
"423888","B"
"811889","B"
"827238","C"
"809970","C"
"821830","C"
"827256","C"
"821829","C"
"827258","C"
"827257","C"
"811933","B"
"811939","B"
"811924","B"
"811911","B"
"811954","B"
"811945","B"
"811942","B"
"811951","B"
"811934","C"
"811937","B"
"811916","B"
"811960","B"
"494021","B"
"461876","B"
"461878","B"
"423817","B"
"811930","B"
"811946","C"
"811912","C"
"811925","C"
"811955","C"
"423897","B"
"461889","B"
"811915","B"
"811928","B"
"044493","B"
"811958","B"
"811949","B"
"810022","C"
"044491","B"
"423896","B"
"423818","C"
"197964","B"
"494027","B"
"423901","B"
"423812","B"
"814639","C"
"461874","B"
"423900","B"
"810023","C"
"810002","C"
"823878","B"
"823932","B"
"810017","C"
"823931","B"
"809987","C"
"461879","B"
"823930","B"
"197936","B"
"452312","B"
"814687","C"
"814686","C"
"461881","B"
"809988","C"
"814654","C"
"461873","C"
"823879","B"
"004825","B"
"814643","C"
"814684","C"
"809991","C"
"814702","C"
"826839","B"
"810003","C"
"810026","C"
"810018","C"
"810025","C"
"810021","C"
"814669","C"
"809972","C"
"810005","C"
"809973","C"
"461880","C"
"826840","B"
"828552","B"
"809975","C"
"823877","B"
"814699","C"
"814701","C"
"810037","C"
"810020","C"
"809990","C"
"494096","B"
"469284","B"
"810006","B"
"814688","C"
"809976","B"
"079745","B"
"828549","B"
"810038","C"
"814703","C"
"810040","C"
"810041","C"
"828555","B"
"821918","B"
"821919","B"
"810548","C"
"144091","C"
"144088","C"
"810549","C"
"810550","C"
"144090","C"
"810551","C"
"144087","C"
"144085","C"
"824957","C"
"144084","C"
"238841","C"
"824956","C"
"819800","B"
"341130","B"
"484954","B"
"484951","B"
"418476","B"
"808584","B"
"484953","B"
"301108","B"
"808585","B"
"807697","B"
"340412","C"
"440296","B"
"475263","B"
"808579","B"
"821453","B"
"440295","B"
"808582","B"
"824863","B"
"821460","B"
"821459","B"
"340026","C"
"507340","B"
"821452","B"
"824862","B"
"808573","B"
"807700","B"
"462141","C"
"807699","B"
"429214","C"
"810444","C"
"807698","C"
"824155","B"
"429215","C"
"824139","B"
"810443","C"
"824143","B"
"824165","B"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
