"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"834370","3.7375","PF1","20200127",""
"825822","0.3375","PF1","20200127",""
"825823","0.3375","PF1","20200127",""
"386590","0.1887","PF1","20200127",""
"817302","1.244652","PF1","20200127",""
"817303","2.019624","PF1","20200127",""
"817304","2.360142","PF1","20200127",""
"825939","3.93357","PF1","20200127",""
"825940","3.93357","PF1","20200127",""
"825941","3.93357","PF1","20200127",""
"817305","1.966476","PF1","20200127",""
"817428","7.877337","PF1","20200127",""
"817315","2.355198","PF1","20200127",""
"817307","1.94361","PF1","20200127",""
"817306","4.138746","PF1","20200127",""
"817429","3.018312","PF1","20200127",""
"844024","7.0702692861567","PF1","20200127",""
"801739","42.5615","PF1","20200127",""
"801751","36.133","PF1","20200127",""
"801535","21.137","PF1","20200127",""
"817834","48.6105","PF1","20200127",""
"801694","32.9705","PF1","20200127",""
"801696","30.107","PF1","20200127",""
"801733","25.7025","PF1","20200127",""
"801569","48.139","PF1","20200127",""
"801548","31.6135","PF1","20200127",""
"801690","38.6975","PF1","20200127",""
"801585","18.354","PF1","20200127",""
"801664","5.8305","PF1","20200127",""
"801673","15.065","PF1","20200127",""
"801695","18.2505","PF1","20200127",""
"801679","30.291","PF1","20200127",""
"801710","52.7045","PF1","20200127",""
"801665","18.354","PF1","20200127",""
"801546","19.6995","PF1","20200127",""
"801671","32.9705","PF1","20200127",""
"801558","24.8285","PF1","20200127",""
"801568","30.1185","PF1","20200127",""
"801730","25.7025","PF1","20200127",""
"801732","13.294","PF1","20200127",""
"801771","25.5875","PF1","20200127",""
"801738","24.2995","PF1","20200127",""
"801706","26.4845","PF1","20200127",""
"801526","19.09","PF1","20200127",""
"801550","13.6735","PF1","20200127",""
"801677","23.46","PF1","20200127",""
"801557","12.627","PF1","20200127",""
"801678","15.341","PF1","20200127",""
"801770","13.0065","PF1","20200127",""
"801729","13.294","PF1","20200127",""
"801529","61.1268","PF1","20200127",""
"801659","63.84","PF1","20200127",""
"801586","11.5368","PF1","20200127",""
"801675","34.713","PF1","20200127",""
"801662","54.9366","PF1","20200127",""
"801629","19.2204","PF1","20200127",""
"801663","14.3526","PF1","20200127",""
"801622","11.7078","PF1","20200127",""
"801628","10.146","PF1","20200127",""
"801597","27.4512","PF1","20200127",""
"801594","12.0156","PF1","20200127",""
"801672","38.7486","PF1","20200127",""
"801699","39.387","PF1","20200127",""
"801552","10.7388","PF1","20200127",""
"801532","17.6244","PF1","20200127",""
"801661","13.5546","PF1","20200127",""
"801674","12.1296","PF1","20200127",""
"801698","14.1132","PF1","20200127",""
"801658","15.447","PF1","20200127",""
"801755","9.7228","PF1","20200127",""
"801697","9.7228","PF1","20200127",""
"812494","8.7418","PF1","20200127",""
"801549","9.7228","PF1","20200127",""
"812609","8.7418","PF1","20200127",""
"801687","10.9436","PF1","20200127",""
"803452","2.1146","PF1","20200127",""
"843340","53.935","PF1","20200127",""
"844203","10.0171","PF1","20200127",""
"826531","5.9375","PF1","20200127",""
"832397","114.57266621345","PF1","20200127",""
"439384","161.85998176864","PF1","20200127",""
"479234","204.6836085811","PF1","20200127",""
"812752","315.37268820446","PF1","20200127",""
"439381","171.30619811165","PF1","20200127",""
"812753","250.33642395174","PF1","20200127",""
"823031","367.53731360364","PF1","20200127",""
"833409","5.659416","PF1","20200127",""
"833363","5.659416","PF1","20200127",""
"833402","5.946696","PF1","20200127",""
"833385","4.495932","PF1","20200127",""
"833444","6.808536","PF1","20200127",""
"833432","6.808536","PF1","20200127",""
"833388","7.670376","PF1","20200127",""
"833441","7.670376","PF1","20200127",""
"833421","8.101296","PF1","20200127",""
"833429","8.532216","PF1","20200127",""
"833419","4.337928","PF1","20200127",""
"833443","4.337928","PF1","20200127",""
"833403","6.506892","PF1","20200127",""
"833376","9.394056","PF1","20200127",""
"833389","9.537696","PF1","20200127",""
"833446","4.912488","PF1","20200127",""
"833377","10.255896","PF1","20200127",""
"833394","12.985056","PF1","20200127",""
"833424","7.928928","PF1","20200127",""
"833439","4.754484","PF1","20200127",""
"833368","9.939888","PF1","20200127",""
"833383","10.083528","PF1","20200127",""
"833384","10.083528","PF1","20200127",""
"833369","20.454336","PF1","20200127",""
"833397","22.178016","PF1","20200127",""
"833387","25.625376","PF1","20200127",""
"833442","13.818168","PF1","20200127",""
"833390","7.627284","PF1","20200127",""
"833393","17.983728","PF1","20200127",""
"833381","9.350964","PF1","20200127",""
"833379","9.350964","PF1","20200127",""
"833367","18.845568","PF1","20200127",""
"833407","10.069164","PF1","20200127",""
"833392","9.91116","PF1","20200127",""
"833386","4.45284","PF1","20200127",""
"833433","11.4912","PF1","20200127",""
"833371","11.92212","PF1","20200127",""
"833431","9.76752","PF1","20200127",""
"833405","7.32564","PF1","20200127",""
"833418","3.73464","PF1","20200127",""
"833370","28.842912","PF1","20200127",""
"833396","22.235472","PF1","20200127",""
"833361","21.660912","PF1","20200127",""
"833436","8.029476","PF1","20200127",""
"833398","31.256064","PF1","20200127",""
"833362","15.053472","PF1","20200127",""
"833404","7.167636","PF1","20200127",""
"833395","13.473432","PF1","20200127",""
"833413","13.186152","PF1","20200127",""
"833426","5.587596","PF1","20200127",""
"833410","5.443956","PF1","20200127",""
"833438","10.887912","PF1","20200127",""
"833435","5.156676","PF1","20200127",""
"833428","9.451512","PF1","20200127",""
"833437","9.451512","PF1","20200127",""
"833430","4.294836","PF1","20200127",""
"833380","7.440552","PF1","20200127",""
"833366","17.30862","PF1","20200127",""
"833382","6.865992","PF1","20200127",""
"833406","6.865992","PF1","20200127",""
"833401","6.865992","PF1","20200127",""
"833422","10.011708","PF1","20200127",""
"833434","6.435072","PF1","20200127",""
"833375","6.004152","PF1","20200127",""
"833445","9.710064","PF1","20200127",""
"833412","7.282548","PF1","20200127",""
"833415","9.566424","PF1","20200127",""
"833374","7.138908","PF1","20200127",""
"833427","3.993192","PF1","20200127",""
"833365","7.699104","PF1","20200127",""
"833400","3.562272","PF1","20200127",""
"833373","6.837264","PF1","20200127",""
"833408","5.127948","PF1","20200127",""
"833411","6.96654","PF1","20200127",""
"833440","5.81742","PF1","20200127",""
"833423","2.973348","PF1","20200127",""
"833378","4.09374","PF1","20200127",""
"833417","2.671704","PF1","20200127",""
"833425","2.94462","PF1","20200127",""
"817467","3.4352","PF1","20200127",""
"817468","12.4032","PF1","20200127",""
"825106","1.6566190643054","PF1","20200127",""
"825107","7.5165999335647","PF1","20200127",""
"817465","2.3613003080771","PF1","20200127",""
"817466","4.2775387779825","PF1","20200127",""
"817464","1.5948049201149","PF1","20200127",""
"826732","3.0849","PF1","20200127",""
"826726","1.921","PF1","20200127",""
"825100","1.749","PF1","20200127",""
"825102","1.705","PF1","20200127",""
"817462","1.342","PF1","20200127",""
"508066","0.836","PF1","20200127",""
"508060","0.836","PF1","20200127",""
"508053","4.675","PF1","20200127",""
"508057","1.496","PF1","20200127",""
"817463","1.815","PF1","20200127",""
"825099","1.815","PF1","20200127",""
"508049","1.815","PF1","20200127",""
