"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"036026","1.955","PF1","20200129",""
"036028","1.955","PF1","20200129",""
"114203","2.024","PF1","20200129",""
"147381","2.3575","PF1","20200129",""
"166439","1.6675","PF1","20200129",""
"191249","3.372132","PF1","20200129",""
"191801","5.543","PF1","20200129",""
"191802","7.9005","PF1","20200129",""
"295205","2.783","PF1","20200129",""
"393275","1.179889","PF1","20200129",""
"393276","1.179889","PF1","20200129",""
"393277","1.179889","PF1","20200129",""
"482038","1.179889","PF1","20200129",""
"370240","1.219","PF1","20200129",""
"370243","8.9585","PF1","20200129",""
"826457","1.179889","PF1","20200129",""
"320450","1.334267","PF1","20200129",""
"320451","1.334267","PF1","20200129",""
"320452","1.334267","PF1","20200129",""
"452827","23.7752","PF1","20200129",""
"320453","1.334267","PF1","20200129",""
"482047","14.053","PF1","20200129",""
"493841","1.6675","PF1","20200129",""
"502940","5.635","PF1","20200129",""
"502941","7.9005","PF1","20200129",""
"502942","8.9585","PF1","20200129",""
"524546","1.334267","PF1","20200129",""
"814827","9.936","PF1","20200129",""
"814828","15.847","PF1","20200129",""
"814830","1.6905","PF1","20200129",""
"814831","1.6905","PF1","20200129",""
"836392","1.715468","PF1","20200129",""
"836393","1.715468","PF1","20200129",""
"816579","1.719564","PF1","20200129",""
"816580","1.719564","PF1","20200129",""
"836394","1.715468","PF1","20200129",""
"814838","2.139238","PF1","20200129",""
"814839","2.139238","PF1","20200129",""
"823496","2.4453","PF1","20200129",""
"013330","2.348751","PF1","20200129",""
"816584","2.712642","PF1","20200129",""
"816585","2.712642","PF1","20200129",""
"823497","4.2822","PF1","20200129",""
"826461","1.6905","PF1","20200129",""
"826462","1.6905","PF1","20200129",""
"833750","8.2829","PF1","20200129",""
"833751","8.2829","PF1","20200129",""
"833752","8.2829","PF1","20200129",""
"833753","43.731","PF1","20200129",""
"833754","43.731","PF1","20200129",""
"833755","43.731","PF1","20200129",""
"833756","43.731","PF1","20200129",""
"823498","4.2822","PF1","20200129",""
"823499","4.2822","PF1","20200129",""
"836399","4.2822","PF1","20200129",""
"836398","5.88525","PF1","20200129",""
"835090","5.198","PF1","20200129",""
"835091","5.198","PF1","20200129",""
"835093","4.646","PF1","20200129",""
"835095","8.142","PF1","20200129",""
"835096","4.646","PF1","20200129",""
"835098","8.142","PF1","20200129",""
"823500","7.7337","PF1","20200129",""
"837948","9.96075","PF1","20200129",""
"837942","1.8055","PF1","20200129",""
"837943","1.8055","PF1","20200129",""
"837949","8.0004","PF1","20200129",""
"837950","8.0004","PF1","20200129",""
