"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"044898","0.7","100205","20190129",""
"044899","3.5","100205","20190129",""
"044904","16.8","100205","20190129",""
"044957","2","100205","20190129",""
"045030","6","100205","20190129",""
"047190","0.45","100205","20190129",""
"047191","0.7","100205","20190129",""
"047263","1.76","100205","20190129",""
"047287","0.6","100205","20190129",""
"047291","0.7","100205","20190129",""
"047301","0.25","100205","20190129",""
"047307","0.44","100205","20190129",""
"047333","5","100205","20190129",""
"047337","0.69","100205","20190129",""
"047338","0.69","100205","20190129",""
"047350","1","100205","20190129",""
"047351","0.5","100205","20190129",""
"047352","1.87","100205","20190129",""
"047373","1.3","100205","20190129",""
"047377","1.09","100205","20190129",""
"047383","1.64","100205","20190129",""
"047385","3","100205","20190129",""
"047387","1.7","100205","20190129",""
"047394","1.7","100205","20190129",""
"047408","0.67","100205","20190129",""
"047412","0.67","100205","20190129",""
"047421","2.5","100205","20190129",""
"047425","2.19","100205","20190129",""
"047427","5.5","100205","20190129",""
"047429","0.33","100205","20190129",""
"047435","1.03","100205","20190129",""
"047440","6.29","100205","20190129",""
"047529","0.61","100205","20190129",""
"047539","1.95","100205","20190129",""
"047540","0.97","100205","20190129",""
"047543","0.97","100205","20190129",""
"047544","1.4","100205","20190129",""
"047558","0.61","100205","20190129",""
"047571","1.72","100205","20190129",""
"047588","1.64","100205","20190129",""
"047626","1.49","100205","20190129",""
"047627","0.59","100205","20190129",""
"047632","1.49","100205","20190129",""
"047641","2.77","100205","20190129",""
"047673","5.35","100205","20190129",""
"047744","0.78","100205","20190129",""
"047751","0.55","100205","20190129",""
"047752","0.61","100205","20190129",""
"047753","0.79","100205","20190129",""
"047772","0.39","100205","20190129",""
"047779","1.7","100205","20190129",""
"047780","0.37","100205","20190129",""
"047781","1.1","100205","20190129",""
"047835","0.34","100205","20190129",""
"047836","1.39","100205","20190129",""
"047837","3.5","100205","20190129",""
"047838","0.8","100205","20190129",""
"076305","0.48","100205","20190129",""
"076306","1.5","100205","20190129",""
"076307","0.91","100205","20190129",""
"076308","4.66","100205","20190129",""
