"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"318532","169","20190107",""
"496456","879","20190107",""
"816359","129","20190107",""
"820549","189","20190107",""
"821245","244","20190107",""
"822640","57.95","20190107",""
"822646","119","20190107",""
"825821","269","20190107",""
"829034","79.95","20190107",""
"829055","15.95","20190107",""
"829073","17.95","20190107",""
"829082","39.95","20190107",""
"830658","89","20190107",""
"830672","61.95","20190107",""
"833967","11.95","20190107",""
"816814","279","20190107",""
"821352","38.95","20190107",""
"821358","66.95","20190107",""
"829025","299","20190107",""
"829043","124","20190107",""
"829063","13.95","20190107",""
"829066","12.95","20190107",""
"829083","39.95","20190107",""
"51296","3.95","20190107",""
"811054","12.95","20190107",""
"811063","18.95","20190107",""
"820546","129","20190107",""
"821237","159","20190107",""
"821240","219","20190107",""
"821345","14.95","20190107",""
"822627","14.95","20190107",""
"829051","66.95","20190107",""
"829060","14.95","20190107",""
"829075","9.95","20190107",""
"829079","39.95","20190107",""
"21165","15.95","20190107",""
"803942","9.95","20190107",""
"816364","19.95","20190107",""
"816816","42.95","20190107",""
"820543","499","20190107",""
"821228","239","20190107",""
"821231","369","20190107",""
"821248","12.95","20190107",""
"821339","13.95","20190107",""
"822617","11.95","20190107",""
"822643","79","20190107",""
"829040","99","20190107",""
"830665","49.95","20190107",""
"51649","3.95","20190107",""
"321388","34.95","20190107",""
"343811","279","20190107",""
"496455","539","20190107",""
"811060","19.95","20190107",""
"816358","69.95","20190107",""
"820547","189","20190107",""
"821232","379","20190107",""
"821236","174","20190107",""
"821246","289","20190107",""
"821337","13.95","20190107",""
"821353","49.95","20190107",""
"829037","75.95","20190107",""
"829064","12.95","20190107",""
"829067","12.95","20190107",""
"829069","23.95","20190107",""
"829081","39.95","20190107",""
"830670","26.95","20190107",""
"321385","19.95","20190107",""
"803945","9.95","20190107",""
"807325","234","20190107",""
"820544","129","20190107",""
"821235","394","20190107",""
"822624","13.95","20190107",""
"822641","57.95","20190107",""
"829028","269","20190107",""
"829032","359","20190107",""
"829065","14.95","20190107",""
"830667","15.95","20190107",""
"21171","15.95","20190107",""
"239225","69.95","20190107",""
"321379","11.95","20190107",""
"807651","179","20190107",""
"811056","13.95","20190107",""
"821234","394","20190107",""
"821342","13.95","20190107",""
"821346","29.95","20190107",""
"830657","254","20190107",""
"830663","3.95","20190107",""
"282083","55.95","20190107",""
"803938","15.95","20190107",""
"803985","12.95","20190107",""
"816362","15.95","20190107",""
"816813","174","20190107",""
"816815","36.95","20190107",""
"820552","299","20190107",""
"821241","214","20190107",""
"822616","4.95","20190107",""
"822621","13.95","20190107",""
"822633","19.95","20190107",""
"822637","38.95","20190107",""
"822644","89","20190107",""
"829024","294","20190107",""
"829033","75.95","20190107",""
"829041","139","20190107",""
"829042","124","20190107",""
"829052","79","20190107",""
"829061","15.95","20190107",""
"829068","17.95","20190107",""
"830659","154","20190107",""
"321393","42.95","20190107",""
"343810","244","20190107",""
"803935","179","20190107",""
"803940","9.95","20190107",""
"811053","48.95","20190107",""
"816361","15.95","20190107",""
"821226","169","20190107",""
"821343","13.95","20190107",""
"822619","9.95","20190107",""
"822632","19.95","20190107",""
"822642","79.95","20190107",""
"822647","139","20190107",""
"829027","269","20190107",""
"829044","75.95","20190107",""
"829045","75.95","20190107",""
"829056","15.95","20190107",""
"829070","259","20190107",""
"830660","3.95","20190107",""
"830668","704","20190107",""
"51648","3.95","20190107",""
"282084","64.95","20190107",""
"282085","99","20190107",""
"321386","17.95","20190107",""
"343813","304","20190107",""
"377148","19.95","20190107",""
"430270","119","20190107",""
"820545","129","20190107",""
"820548","189","20190107",""
"821227","169","20190107",""
"822629","14.95","20190107",""
"822636","23.95","20190107",""
"822639","49.95","20190107",""
"825819","179","20190107",""
"829021","219","20190107",""
"829046","66.95","20190107",""
"829048","66.95","20190107",""
"829072","334","20190107",""
"829077","22.95","20190107",""
"830669","59.95","20190107",""
"321392","4.95","20190107",""
"390542","179","20190107",""
"462675","424","20190107",""
"803944","14.95","20190107",""
"803946","12.95","20190107",""
"811051","37.95","20190107",""
"811062","14.95","20190107",""
"820550","299","20190107",""
"821239","189","20190107",""
"821247","289","20190107",""
"821354","49.95","20190107",""
"822630","16.95","20190107",""
"822645","89","20190107",""
"822651","49.95","20190107",""
"829022","219","20190107",""
"829026","294","20190107",""
"829029","269","20190107",""
"829039","99","20190107",""
"829049","75.95","20190107",""
"829078","29.95","20190107",""
"377151","27.95","20190107",""
"803936","179","20190107",""
"803943","14.95","20190107",""
"811058","19.95","20190107",""
"821243","249","20190107",""
"821338","13.95","20190107",""
"821359","89","20190107",""
"822622","13.95","20190107",""
"822626","13.95","20190107",""
"822638","49.95","20190107",""
"825818","179","20190107",""
"829062","18.95","20190107",""
"830662","3.95","20190107",""
"830666","109","20190107",""
"350142","194","20190107",""
"462673","324","20190107",""
"811059","25.95","20190107",""
"816363","19.95","20190107",""
"820542","499","20190107",""
"821341","13.95","20190107",""
"821351","38.95","20190107",""
"822634","19.95","20190107",""
"822649","139","20190107",""
"822650","49.95","20190107",""
"829036","74.95","20190107",""
"829058","18.95","20190107",""
"829074","12.95","20190107",""
"829076","39.95","20190107",""
"253519","84","20190107",""
"321396","19.95","20190107",""
"390541","169","20190107",""
"462672","264","20190107",""
"820551","299","20190107",""
"821233","394","20190107",""
"821244","244","20190107",""
"821335","12.95","20190107",""
"821355","59.95","20190107",""
"821357","59.95","20190107",""
"822620","9.95","20190107",""
"822648","139","20190107",""
"825820","279","20190107",""
"829035","99","20190107",""
"829054","79","20190107",""
"829057","18.95","20190107",""
"829071","334","20190107",""
"829080","39.95","20190107",""
"830671","29.95","20190107",""
"282087","229","20190107",""
"321389","5.95","20190107",""
"462674","374","20190107",""
"811064","29.95","20190107",""
"816360","129","20190107",""
"816817","64.95","20190107",""
"821230","369","20190107",""
"821242","249","20190107",""
"821249","12.95","20190107",""
"821336","13.95","20190107",""
"821344","13.95","20190107",""
"822631","18.95","20190107",""
"829031","359","20190107",""
"829059","18.95","20190107",""
"830661","3.95","20190107",""
"830664","79","20190107",""
"321395","9.95","20190107",""
"377150","24.95","20190107",""
"811057","13.95","20190107",""
"811061","25.95","20190107",""
"821229","239","20190107",""
"821238","189","20190107",""
"821333","12.95","20190107",""
"821340","13.95","20190107",""
"822618","9.95","20190107",""
"829023","219","20190107",""
"829030","359","20190107",""
"829038","99","20190107",""
"829047","26.95","20190107",""
"829050","89","20190107",""
"829053","66.95","20190107",""
"829084","39.95","20190107",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
"","","",""
