"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"837263","6.95","20200608",""
"837264","6.95","20200608",""
"837265","6.95","20200608",""
"837266","6.95","20200608",""
"837267","6.95","20200608",""
"837268","6.95","20200608",""
"837269","8.45","20200608",""
"837270","8.45","20200608",""
"837271","8.45","20200608",""
"837272","8.45","20200608",""
"837273","8.45","20200608",""
"837274","8.45","20200608",""
"837275","9.95","20200608",""
"837276","9.95","20200608",""
"837277","9.95","20200608",""
"837278","9.95","20200608",""
"837279","9.95","20200608",""
"837280","9.95","20200608",""
"837281","12.95","20200608",""
"837282","12.95","20200608",""
"837283","12.95","20200608",""
"837284","12.95","20200608",""
"837285","12.95","20200608",""
"837286","12.95","20200608",""
"837287","15.95","20200608",""
"837288","15.95","20200608",""
"837289","15.95","20200608",""
"837290","15.95","20200608",""
"837291","15.95","20200608",""
"837292","15.95","20200608",""
"837293","11.45","20200608",""
"837294","11.45","20200608",""
"837295","11.45","20200608",""
"837296","11.45","20200608",""
"837297","11.45","20200608",""
"837298","11.45","20200608",""
"837299","12.95","20200608",""
"837300","12.95","20200608",""
"837301","12.95","20200608",""
"837302","12.95","20200608",""
"837303","12.95","20200608",""
"837304","12.95","20200608",""
"837305","13.95","20200608",""
"837306","13.95","20200608",""
"837307","13.95","20200608",""
"837308","13.95","20200608",""
"837309","13.95","20200608",""
"837310","13.95","20200608",""
"837311","16.45","20200608",""
"837312","16.45","20200608",""
"837313","16.45","20200608",""
"837314","16.45","20200608",""
"837315","16.45","20200608",""
"837316","16.45","20200608",""
"837317","19.95","20200608",""
"837318","19.95","20200608",""
"837319","19.95","20200608",""
"837320","19.95","20200608",""
"837321","19.95","20200608",""
"837322","19.95","20200608",""
"837323","34.45","20200608",""
"837324","34.45","20200608",""
"837325","34.45","20200608",""
"837326","34.45","20200608",""
"837327","34.45","20200608",""
"837328","34.45","20200608",""
"837329","36.45","20200608",""
"837330","36.45","20200608",""
"837331","36.45","20200608",""
"837332","36.45","20200608",""
"837333","36.45","20200608",""
"837334","36.45","20200608",""
"837335","12.45","20200608",""
"837336","12.45","20200608",""
"837337","12.45","20200608",""
"837338","12.45","20200608",""
"837339","12.45","20200608",""
"837340","12.45","20200608",""
"837341","14.95","20200608",""
"837342","14.95","20200608",""
"837343","14.95","20200608",""
"837344","14.95","20200608",""
"837345","14.95","20200608",""
"837346","14.95","20200608",""
"837347","18.45","20200608",""
"837348","18.45","20200608",""
"837349","18.45","20200608",""
"837350","18.45","20200608",""
"837351","18.45","20200608",""
"837352","18.45","20200608",""
"837353","20.95","20200608",""
"837354","20.95","20200608",""
"837355","20.95","20200608",""
"837356","20.95","20200608",""
"837357","20.95","20200608",""
"837358","20.95","20200608",""
"837359","28.45","20200608",""
"837360","28.45","20200608",""
"837361","28.45","20200608",""
"837362","28.45","20200608",""
"837363","28.45","20200608",""
"837364","28.45","20200608",""
"837365","32.45","20200608",""
"837366","32.45","20200608",""
"837367","32.45","20200608",""
"837368","32.45","20200608",""
"837369","32.45","20200608",""
"837370","32.45","20200608",""
"837371","22.95","20200608",""
"837372","22.95","20200608",""
"837373","22.95","20200608",""
"837374","22.95","20200608",""
"837375","22.95","20200608",""
"837376","22.95","20200608",""
"837377","24.45","20200608",""
"837378","24.45","20200608",""
