"CODE","PV","DATE"
"CODE Article","Prix De Vente nombre","Format AAAAMMDD"
"003819","15.5","20190110"
"005297","59.95","20190110"
"005985","53.95","20190110"
"005988","10.5","20190110"
"005989","15.95","20190110"
"005990","7.95","20190110"
"005991","15.95","20190110"
"006000","3.35","20190110"
"006292","16.5","20190110"
"006306","12.95","20190110"
"006308","12.5","20190110"
"006309","12.5","20190110"
"009457","4.95","20190110"
"009458","9.95","20190110"
"009460","17.5","20190110"
"009464","8.95","20190110"
"009465","6.75","20190110"
"009473","10.5","20190110"
"009474","4.75","20190110"
"009476","6.5","20190110"
"009477","12.5","20190110"
"009936","12.5","20190110"
"010013","21.5","20190110"
"010016","6.3","20190110"
"010026","6.3","20190110"
"010210","19.95","20190110"
"012925","15.5","20190110"
"012926","12.95","20190110"
"016141","89.95","20190110"
"016170","10.5","20190110"
"016173","12.5","20190110"
"019518","10.95","20190110"
"019519","4.5505971087366","20190110"
"022017","4.95","20190110"
"022200","55.95","20190110"
"022215","18.5","20190110"
"023537","8.5","20190110"
"023541","8.2","20190110"
"023542","12.95","20190110"
"023545","7.95","20190110"
"023547","9.2","20190110"
"025599","7.9506055568749","20190110"
"027648","31.5","20190110"
"031892","28.95","20190110"
"031893","30.95","20190110"
"034206","6.5","20190110"
"035950","72.95","20190110"
"049017","13.5","20190110"
"049018","20.5","20190110"
"053298","6.3","20190110"
"053303","5.2","20190110"
"053304","14.2","20190110"
"062866","9.95","20190110"
"075080","15.5","20190110"
"085009","8.5","20190110"
"085054","23.5","20190110"
"085056","23.5","20190110"
"085352","7.5","20190110"
"085353","14.5","20190110"
"085372","9.95","20190110"
"086636","3.9504681365146","20190110"
"117229","12.5","20190110"
"117235","12.5","20190110"
"117247","21.5","20190110"
"117254","25.952080706179","20190110"
"122119","10.5","20190110"
"122120","5.6","20190110"
"124400","12.5","20190110"
"124401","14.5","20190110"
"126019","29.5","20190110"
"126809","17.5","20190110"
"126812","8.5","20190110"
"126813","13.5","20190110"
"126814","13.5","20190110"
"126823","25.5","20190110"
"126824","40.95","20190110"
"126825","4.75","20190110"
"126828","9.95","20190110"
"126831","16.95","20190110"
"126833","22.5","20190110"
"126834","29.95","20190110"
"126835","31.95","20190110"
"126836","31.95","20190110"
"126839","12.5","20190110"
"126841","10.5","20190110"
"126857","20.499082568807","20190110"
"126859","31.000178284899","20190110"
"126861","41.95","20190110"
"132814","12.5","20190110"
"132816","15.5","20190110"
"140432","7.5","20190110"
"145383","9.5","20190110"
"148060","6.95","20190110"
"148074","10.5","20190110"
"148548","8.2","20190110"
"148567","5.2","20190110"
"151205","7.5","20190110"
"151207","10.5","20190110"
"166122","12.948047955733","20190110"
"166126","12.948047955733","20190110"
"167694","4.2","20190110"
"176718","21.95","20190110"
"176719","39.95","20190110"
"176738","409.95","20190110"
"176780","48.95","20190110"
"176798","56.5","20190110"
"176945","25.95","20190110"
"177569","22.5","20190110"
"182721","9.2","20190110"
"195670","24.95","20190110"
"207278","72.95","20190110"
"207282","83.95","20190110"
"216807","7.2","20190110"
"224866","129.95","20190110"
"231837","4.65","20190110"
"242454","16.95","20190110"
"246651","4.95","20190110"
"246652","8.95","20190110"
"249078","5.5","20190110"
"253744","20.4","20190110"
"267903","5.2","20190110"
"267904","9.5","20190110"
"267905","7.2","20190110"
"267906","12.5","20190110"
"267958","16.5","20190110"
"267960","18.5","20190110"
"279562","20.5","20190110"
"282784","5.2","20190110"
"285972","23.5","20190110"
"285973","28.499016823247","20190110"
"297656","123.5","20190110"
"297657","136.5","20190110"
"297658","153.5","20190110"
"300401","9.5","20190110"
"300404","25.5","20190110"
"301050","15.2","20190110"
"301103","23.501199040767","20190110"
"305892","25.5","20190110"
"313204","28.2","20190110"
"313205","20.5","20190110"
"313210","13.5","20190110"
"314325","7.2","20190110"
"315139","17.5","20190110"
"315147","20.6","20190110"
"315148","9.2","20190110"
"320232","18.5","20190110"
"329813","27.952443857332","20190110"
"329814","27.952755905512","20190110"
"329815","28.952879581152","20190110"
"336645","43.5","20190110"
"336646","48.95","20190110"
"336647","54.5","20190110"
"339630","14.95","20190110"
"340068","6.2","20190110"
"340069","5.2","20190110"
"341113","3.950487226758","20190110"
"341130","9.9509460406447","20190110"
"341273","10.5","20190110"
"341274","16.5","20190110"
"341275","20.5","20190110"
"341276","40.95","20190110"
"341775","4.75","20190110"
"343401","16.95","20190110"
"343402","37.95","20190110"
"343404","37.95","20190110"
"343405","15.75","20190110"
"343406","15.95","20190110"
"343407","25.5","20190110"
"343408","11.95","20190110"
"343409","30.5","20190110"
"343412","15.75","20190110"
"343413","15.5","20190110"
"343414","36.5","20190110"
"343415","16.2","20190110"
