"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"836565","2.134","10520","20181031",""
"836566","2.134","10520","20181031",""
"836567","2.134","10520","20181031",""
"836568","2.134","10520","20181031",""
"836569","2.134","10520","20181031",""
"836570","2.134","10520","20181031",""
"836571","2.134","10520","20181031",""
"836572","3.589","10520","20181031",""
"836573","3.589","10520","20181031",""
"836574","4.9955","10520","20181031",""
"836575","4.9955","10520","20181031",""
"836576","4.9955","10520","20181031",""
"836577","4.9955","10520","20181031",""
"836578","4.9955","10520","20181031",""
"836579","4.9955","10520","20181031",""
"836580","4.9955","10520","20181031",""
"836581","4.9955","10520","20181031",""
"836582","4.9955","10520","20181031",""
"836583","4.9955","10520","20181031",""
"836584","4.9955","10520","20181031",""
"836585","6.6445","10520","20181031",""
"836586","6.6445","10520","20181031",""
"836587","6.6445","10520","20181031",""
"836588","9.021","10520","20181031",""
"836589","9.021","10520","20181031",""
"836590","9.021","10520","20181031",""
"836591","9.021","10520","20181031",""
"836592","9.021","10520","20181031",""
"836593","9.021","10520","20181031",""
"836594","9.021","10520","20181031",""
"836595","9.021","10520","20181031",""
"836596","9.021","10520","20181031",""
"836597","9.021","10520","20181031",""
"836598","9.021","10520","20181031",""
"836599","2.134","10520","20181031",""
"836600","3.589","10520","20181031",""
"836601","6.6445","10520","20181031",""
"836602","6.6445","10520","20181031",""
"836603","6.6445","10520","20181031",""
"836604","6.6445","10520","20181031",""
"836605","3.589","10520","20181031",""
"836606","6.6445","10520","20181031",""
"836607","3.589","10520","20181031",""
"836608","6.6445","10520","20181031",""
"836609","3.589","10520","20181031",""
"836610","2.134","10520","20181031",""
"836611","2.134","10520","20181031",""
"836612","6.111","10520","20181031",""
"836613","2.813","10520","20181031",""
"836614","2.813","10520","20181031",""
"836615","6.499","10520","20181031",""
"836616","6.499","10520","20181031",""
"836617","6.499","10520","20181031",""
"836618","6.499","10520","20181031",""
"836619","6.499","10520","20181031",""
"836620","6.499","10520","20181031",""
"836621","6.499","10520","20181031",""
"836622","6.499","10520","20181031",""
"836623","6.499","10520","20181031",""
"836624","6.499","10520","20181031",""
"836625","6.499","10520","20181031",""
"836626","6.499","10520","20181031",""
"836627","6.499","10520","20181031",""
"836628","6.499","10520","20181031",""
"836629","6.499","10520","20181031",""
"836630","6.499","10520","20181031",""
"836631","6.499","10520","20181031",""
"836632","6.499","10520","20181031",""
"836633","7.5175","10520","20181031",""
"836634","7.5175","10520","20181031",""
"836635","7.5175","10520","20181031",""
"836636","7.5175","10520","20181031",""
"836637","7.5175","10520","20181031",""
"836638","7.5175","10520","20181031",""
"836639","7.5175","10520","20181031",""
"836640","7.5175","10520","20181031",""
"836641","7.5175","10520","20181031",""
"836642","7.5175","10520","20181031",""
"836643","7.5175","10520","20181031",""
"836644","7.5175","10520","20181031",""
"836645","7.5175","10520","20181031",""
"836646","7.5175","10520","20181031",""
"836647","7.5175","10520","20181031",""
"836648","7.5175","10520","20181031",""
"836649","7.5175","10520","20181031",""
"836650","7.5175","10520","20181031",""
"836651","6.6445","10520","20181031",""
"836652","8.148","10520","20181031",""
"836653","56.5995","10520","20181031",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
