"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"833420","3.8052","100053","20190627",""
"833416","8.3916","100053","20190627",""
"833399","3.654","100053","20190627",""
"833408","4.4982","100053","20190627",""
"833386","3.906","100053","20190627",""
"833443","12.1212","100053","20190627",""
"833417","2.0916","100053","20190627",""
"833423","8.7822","100053","20190627",""
"833376","8.2404","100053","20190627",""
"833406","6.0228","100053","20190627",""
"833385","3.9438","100053","20190627",""
"833403","5.7078","100053","20190627",""
"833421","5.2164","100053","20190627",""
"833400","3.1248","100053","20190627",""
"833418","2.3436","100053","20190627",""
"833435","5.6448","100053","20190627",""
"833412","6.3882","100053","20190627",""
"833419","3.276","100053","20190627",""
"833410","4.7754","100053","20190627",""
"833401","6.0228","100053","20190627",""
"833409","4.9644","100053","20190627",""
"833377","8.9964","100053","20190627",""
"833425","6.9552","100053","20190627",""
"833402","5.2164","100053","20190627",""
"833404","6.2874","100053","20190627",""
"833428","3.5028","100053","20190627",""
"833390","6.6906","100053","20190627",""
"833422","7.1064","100053","20190627",""
"833407","8.8326","100053","20190627",""
"833439","9.5508","100053","20190627",""
"833375","5.2668","100053","20190627",""
"833363","4.9644","100053","20190627",""
"833384","8.8452","100053","20190627",""
"833436","4.5234","100053","20190627",""
"833365","6.7536","100053","20190627",""
"833411","6.111","100053","20190627",""
"833437","7.0434","100053","20190627",""
"833438","8.2908","100053","20190627",""
"833444","3.8052","100053","20190627",""
"833379","8.2026","100053","20190627",""
"833415","12.5496","100053","20190627",""
"833426","2.583","100053","20190627",""
"833429","8.2908","100053","20190627",""
"833446","8.5176","100053","20190627",""
"833427","4.9014","100053","20190627",""
"833392","8.694","100053","20190627",""
"833433","5.9724","100053","20190627",""
"833440","4.1706","100053","20190627",""
"833432","8.568","100053","20190627",""
"833434","10.08","100053","20190627",""
"833441","5.103","100053","20190627",""
"833364","13.608","100053","20190627",""
"833371","10.458","100053","20190627",""
"833442","6.7284","100053","20190627",""
"833413","11.5668","100053","20190627",""
"833430","7.4844","100053","20190627",""
"833445","5.9724","100053","20190627",""
"833378","3.591","100053","20190627",""
"833380","6.5268","100053","20190627",""
"833405","6.426","100053","20190627",""
"833424","2.6082","100053","20190627",""
"833431","3.7674","100053","20190627",""
"833372","5.6574","100053","20190627",""
"833389","8.3664","100053","20190627",""
"833382","6.0228","100053","20190627",""
"833388","6.7284","100053","20190627",""
"833391","3.5658","100053","20190627",""
"833393","15.7752","100053","20190627",""
"833361","19.0008","100053","20190627",""
"833368","8.7192","100053","20190627",""
"833381","8.2026","100053","20190627",""
"833387","22.4784","100053","20190627",""
"833366","15.183","100053","20190627",""
"833370","25.3008","100053","20190627",""
"833383","8.8452","100053","20190627",""
"833367","16.5312","100053","20190627",""
"833369","17.9424","100053","20190627",""
"833374","6.2622","100053","20190627",""
"833394","11.3904","100053","20190627",""
"833397","19.4544","100053","20190627",""
"833398","27.4176","100053","20190627",""
"833373","5.9976","100053","20190627",""
"833395","11.8188","100053","20190627",""
"833362","13.2048","100053","20190627",""
"833396","19.5048","100053","20190627",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
