"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"819820","9.95","20180424",""
"321393","42.95","20180424",""
"374945","3.95","20180424",""
"476877","5.95","20180424",""
"476878","4.95","20180424",""
"804970","14.95","20180424",""
"811309","19.95","20180424",""
"811311","18.95","20180424",""
"811312","19.95","20180424",""
"811313","21.95","20180424",""
"811315","22.95","20180424",""
"811316","18.95","20180424",""
"811646","2.95","20180424",""
"817629","29.95","20180424",""
"817630","15.95","20180424",""
"817631","16.95","20180424",""
"817632","18.95","20180424",""
"817633","19.95","20180424",""
"818926","19.95","20180424",""
"822636","22.95","20180424",""
"822649","139","20180424",""
"823958","27.95","20180424",""
"823959","29.95","20180424",""
"823960","39.95","20180424",""
"816989","13.95","20180424",""
"034238","23.95","20180424",""
"052365","19.95","20180424",""
"052526","22.95","20180424",""
"052531","25.95","20180424",""
"052535","29.95","20180424",""
"053647","14.95","20180424",""
"053650","16.95","20180424",""
"053651","15.95","20180424",""
"053652","19.95","20180424",""
"053653","22.95","20180424",""
"053654","22.95","20180424",""
"053655","22.95","20180424",""
"053657","19.95","20180424",""
"053658","21.95","20180424",""
"053659","22.95","20180424",""
"053660","24.95","20180424",""
"053661","25.95","20180424",""
"053662","32.95","20180424",""
"085059","27.95","20180424",""
"085062","22.95","20180424",""
"117256","26.95","20180424",""
"117258","27.95","20180424",""
"313204","28.95","20180424",""
"329813","27.95","20180424",""
"329814","27.95","20180424",""
"329815","28.95","20180424",""
"329819","24.95","20180424",""
"375032","3.95","20180424",""
"381203","36.95","20180424",""
"415932","58.95","20180424",""
"443271","5.95","20180424",""
"464235","29.95","20180424",""
"464236","36.95","20180424",""
"501768","12.95","20180424",""
"501769","14.95","20180424",""
"501771","17.95","20180424",""
"501772","18.95","20180424",""
"804232","119","20180424",""
"804233","129","20180424",""
"804234","164","20180424",""
"816821","49.95","20180424",""
"816822","56.95","20180424",""
"816823","69.95","20180424",""
"816824","79.95","20180424",""
"816825","83.95","20180424",""
"816826","95.95","20180424",""
"816827","49.95","20180424",""
"816828","56.95","20180424",""
"816829","69.95","20180424",""
"816830","79.95","20180424",""
"816831","83.95","20180424",""
"816832","95.95","20180424",""
"816833","52.95","20180424",""
"816834","56.95","20180424",""
"816835","73.95","20180424",""
"816836","79.95","20180424",""
"816837","29.95","20180424",""
"816838","5.95","20180424",""
"816839","5.95","20180424",""
"816840","2.95","20180424",""
"816990","8.95","20180424",""
"817257","59.95","20180424",""
"817258","72.95","20180424",""
"817259","92.95","20180424",""
"817260","59.95","20180424",""
"817261","72.95","20180424",""
"817262","92.95","20180424",""
"817263","59.95","20180424",""
"817264","75.95","20180424",""
"818241","39.95","20180424",""
"818242","49.95","20180424",""
"818243","69.95","20180424",""
"818244","69.95","20180424",""
"818245","89","20180424",""
"818246","99","20180424",""
"818247","39.95","20180424",""
"818248","49.95","20180424",""
"818249","69.95","20180424",""
"818250","69.95","20180424",""
"818251","94.95","20180424",""
"818252","94.95","20180424",""
"818253","39.95","20180424",""
"818254","49.95","20180424",""
"818255","69.95","20180424",""
"818256","69.95","20180424",""
"818257","89.95","20180424",""
"818258","94.95","20180424",""
