"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"511364","0.803","PF0","20180702",""
"511365","3.575","PF0","20180702",""
"511366","0.737","PF0","20180702",""
"511367","3.179","PF0","20180702",""
"511368","14.025","PF0","20180702",""
"511369","0.803","PF0","20180702",""
"511370","3.575","PF0","20180702",""
"511371","2.541","PF0","20180702",""
"511372","2.541","PF0","20180702",""
"813592","9.988","PF0","20180702",""
"830629","2.541","PF0","20180702",""
"830630","2.541","PF0","20180702",""
"830631","2.541","PF0","20180702",""
"252542","0.968","PF0","20180702",""
"252543","0.902","PF0","20180702",""
"252544","0.957","PF0","20180702",""
"252545","1.012","PF0","20180702",""
"252546","0.913","PF0","20180702",""
"252547","0.869","PF0","20180702",""
"252548","0.957","PF0","20180702",""
"252550","8.217","PF0","20180702",""
"252551","7.711","PF0","20180702",""
"252552","2.706","PF0","20180702",""
"252553","2.706","PF0","20180702",""
"252554","2.706","PF0","20180702",""
"331538","2.706","PF0","20180702",""
"331539","12.672","PF0","20180702",""
"367327","4.818","PF0","20180702",""
"367328","21.945","PF0","20180702",""
"367329","8.734","PF0","20180702",""
"367330","8.536","PF0","20180702",""
"367382","12.672","PF0","20180702",""
"391551","4.081","PF0","20180702",""
"391552","3.982","PF0","20180702",""
"391553","3.63","PF0","20180702",""
"391554","4.279","PF0","20180702",""
"391555","3.927","PF0","20180702",""
"391556","3.696","PF0","20180702",""
"391557","4.026","PF0","20180702",""
"462647","3.927","PF0","20180702",""
"462648","8.602","PF0","20180702",""
"462697","8.47","PF0","20180702",""
"498910","2.706","PF0","20180702",""
"815494","13.167","PF0","20180702",""
"818612","4.609","PF0","20180702",""
"818613","4.521","PF0","20180702",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
