"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"836960","36.375","PF1","20200127",""
"836959","30.375","PF1","20200127",""
"815421","8.232588","PF1","20200127",""
"815418","8.633898","PF1","20200127",""
"815420","21.693672","PF1","20200127",""
"815415","8.209656","PF1","20200127",""
"815417","20.627334","PF1","20200127",""
"815423","20.627334","PF1","20200127",""
"815413","8.507772","PF1","20200127",""
"815416","2.23587","PF1","20200127",""
"815422","2.23587","PF1","20200127",""
"815409","29.17434","PF1","20200127",""
"815410","29.152305","PF1","20200127",""
"832964","8.71416","PF1","20200127",""
"832965","21.762468","PF1","20200127",""
"823473","0.989","PF1","20200127",""
"823475","0.989","PF1","20200127",""
"823474","0.989","PF1","20200127",""
"823476","0.989","PF1","20200127",""
"832963","31.0185","PF1","20200127",""
"836243","10.6785","PF1","20200127",""
"832962","10.6785","PF1","20200127",""
"832961","10.6785","PF1","20200127",""
"832960","10.2265","PF1","20200127",""
"832959","10.2265","PF1","20200127",""
"815411","29.857425","PF1","20200127",""
"815412","9.364875","PF1","20200127",""
"815407","29.328975","PF1","20200127",""
"815408","9.199125","PF1","20200127",""
"836244","30.2430375","PF1","20200127",""
"475870","11.36538","PF1","20200127",""
"822055","29.25","PF1","20200127",""
"825906","11.93049","PF1","20200127",""
"830494","37.0305","PF1","20200127",""
"366226","11.36538","PF1","20200127",""
"830512","11.934","PF1","20200127",""
"822054","8.892","PF1","20200127",""
"825910","2.3868","PF1","20200127",""
"822052","29.25","PF1","20200127",""
"822050","2.223","PF1","20200127",""
"822056","9.1026","PF1","20200127",""
"825911","9.5238","PF1","20200127",""
"528200","25.95528","PF1","20200127",""
"825908","11.97612","PF1","20200127",""
"822051","8.892","PF1","20200127",""
"825905","6.5052","PF1","20200127",""
"540378","6.5052","PF1","20200127",""
"822053","2.223","PF1","20200127",""
"830493","9.1026","PF1","20200127",""
"819142","6.64794","PF1","20200127",""
"822057","37.0305","PF1","20200127",""
"825907","6.64794","PF1","20200127",""
"830501","0.83452358787423","PF1","20200127",""
"830514","3.0251480060441","PF1","20200127",""
"830504","1.1590605387142","PF1","20200127",""
"830506","1.1590605387142","PF1","20200127",""
"830511","3.0251480060441","PF1","20200127",""
"830505","1.1590605387142","PF1","20200127",""
"830510","3.0251480060441","PF1","20200127",""
"837063","36.777","PF1","20200127",""
"837061","9.338","PF1","20200127",""
"814573","2.392","PF1","20200127",""
"814571","2.1735","PF1","20200127",""
"814574","2.392","PF1","20200127",""
"822073","41.0755","PF1","20200127",""
"822069","36.2617","PF1","20200127",""
"830492","46.5673","PF1","20200127",""
"822072","41.0755","PF1","20200127",""
"822065","2.9267","PF1","20200127",""
"822061","24.4758","PF1","20200127",""
"822070","10.283","PF1","20200127",""
"817487","19.5716","PF1","20200127",""
"822066","9.6841","PF1","20200127",""
"822060","10.2152","PF1","20200127",""
"822059","10.2152","PF1","20200127",""
"822058","2.9267","PF1","20200127",""
"822068","36.2617","PF1","20200127",""
"822071","10.283","PF1","20200127",""
"822074","11.4695","PF1","20200127",""
"822075","46.5673","PF1","20200127",""
"830499","1.5743679592432","PF1","20200127",""
"830495","1.0719100999102","PF1","20200127",""
"830496","1.0719100999102","PF1","20200127",""
"830498","1.5073735779988","PF1","20200127",""
"830497","1.0719100999102","PF1","20200127",""
"822064","36.5079","PF1","20200127",""
"825915","41.403","PF1","20200127",""
"822062","2.8749","PF1","20200127",""
"822063","9.5127","PF1","20200127",""
"825914","10.101","PF1","20200127",""
"825913","2.8749","PF1","20200127",""
"801333","34.385","PF1","20200127",""
"801329","7.9695","PF1","20200127",""
"801332","9.43","PF1","20200127",""
"801327","13.452","PF1","20200127",""
"819139","13.452","PF1","20200127",""
"814566","13.452","PF1","20200127",""
"801320","13.0188","PF1","20200127",""
"814567","15.4242","PF1","20200127",""
"814565","42.0318","PF1","20200127",""
"804252","13.7256","PF1","20200127",""
"819137","13.7256","PF1","20200127",""
"801324","47.4012","PF1","20200127",""
"801318","44.3346","PF1","20200127",""
"801316","39.4782","PF1","20200127",""
"801319","39.4782","PF1","20200127",""
"801321","38.5206","PF1","20200127",""
"801323","37.1412","PF1","20200127",""
"814564","41.553","PF1","20200127",""
"801328","38.703","PF1","20200127",""
"801322","36.48","PF1","20200127",""
"819138","14.1246","PF1","20200127",""
"819141","7.0452","PF1","20200127",""
"835253","18.816","PF1","20200127",""
"166082","5.6696","PF1","20200127",""
"166074","6.0648","PF1","20200127",""
"826428","10.1992","PF1","20200127",""
"166079","5.6088","PF1","20200127",""
"166072","6.2776","PF1","20200127",""
"166089","6.2776","PF1","20200127",""
"166068","5.8672","PF1","20200127",""
"821769","64.475","PF1","20200127",""
"822180","43.575","PF1","20200127",""
"822179","42.2125","PF1","20200127",""
"44255","1.403","PF1","20200127",""
"418711","10.553","PF1","20200127",""
"418710","9.8454","PF1","20200127",""
"32737","3.6112","PF1","20200127",""
"418712","3.3672","PF1","20200127",""
"44257","1.2566","PF1","20200127",""
"32735","4.392","PF1","20200127",""
"32747","2.6962","PF1","20200127",""
"44256","1.4884","PF1","20200127",""
"32736","3.3672","PF1","20200127",""
"32746","1.1346","PF1","20200127",""
"44253","1.159","PF1","20200127",""
"32741","1.403","PF1","20200127",""
"481538","28.9289","PF1","20200127",""
"485798","18.3736","PF1","20200127",""
"32721","3.6295","PF1","20200127",""
"32724","3.451","PF1","20200127",""
"32713","3.5581","PF1","20200127",""
"32689","3.9032","PF1","20200127",""
"44252","1.3328","PF1","20200127",""
"44251","1.4042","PF1","20200127",""
"32739","1.525","PF1","20200127",""
"504973","6.0756","PF1","20200127",""
"504965","5.429","PF1","20200127",""
"504970","4.7214","PF1","20200127",""
"504967","1.83","PF1","20200127",""
"504964","1.952","PF1","20200127",""
"822999","6.4172","PF1","20200127",""
"504968","4.8312","PF1","20200127",""
"822998","6.7222","PF1","20200127",""
"504966","5.0996","PF1","20200127",""
"504972","2.3912","PF1","20200127",""
"504971","5.0508","PF1","20200127",""
"32738","1.4518","PF1","20200127",""
"32745","2.5254","PF1","20200127",""
"32731","2.7965","PF1","20200127",""
"32715","3.3439","PF1","20200127",""
"44209","1.5232","PF1","20200127",""
"386514","18.0665","PF1","20200127",""
"386512","16.9395","PF1","20200127",""
"386515","14.651","PF1","20200127",""
"386516","17.3765","PF1","20200127",""
"386507","14.0875","PF1","20200127",""
"386523","13.6045","PF1","20200127",""
"386520","16.6175","PF1","20200127",""
"386522","17.457","PF1","20200127",""
"386513","17.457","PF1","20200127",""
"823620","44.836","PF1","20200127",""
"832065","19.5546","PF1","20200127",""
"822723","21.25","PF1","20200127",""
"822722","31.075","PF1","20200127",""
"449954","5.5907514197355","PF1","20200127",""
"449955","8.2733625043644","PF1","20200127",""
"492150","133.575","PF1","20200127",""
"492149","138.375","PF1","20200127",""
"492145","84.9375","PF1","20200127",""
"492148","109.625","PF1","20200127",""
"492146","81.9875","PF1","20200127",""
"492147","113.6375","PF1","20200127",""
"823346","49.2625","PF1","20200127",""
"823347","49.2625","PF1","20200127",""
"815330","25.5136","PF1","20200127",""
"815329","25.5136","PF1","20200127",""
"815319","18.0761","PF1","20200127",""
"815316","16.6838","PF1","20200127",""
"815324","19.1828","PF1","20200127",""
"815320","18.0761","PF1","20200127",""
"815328","22.4553","PF1","20200127",""
"816283","25.5612","PF1","20200127",""
"816284","25.5612","PF1","20200127",""
"815323","19.1828","PF1","20200127",""
"815327","22.4553","PF1","20200127",""
"815317","18.0761","PF1","20200127",""
"815321","19.1828","PF1","20200127",""
"815315","16.6838","PF1","20200127",""
"815322","19.1828","PF1","20200127",""
"815325","22.4553","PF1","20200127",""
"815326","22.4553","PF1","20200127",""
"815318","18.0761","PF1","20200127",""
"815314","16.6838","PF1","20200127",""
"815313","16.6838","PF1","20200127",""
"822200","101.83449559254","PF1","20200127",""
"458958","31.842020649039","PF1","20200127",""
"458954","29.177947208282","PF1","20200127",""
"458951","25.199136225335","PF1","20200127",""
"458963","37.965929727141","PF1","20200127",""
"458961","34.79441372624","PF1","20200127",""
"458952","27.298103178658","PF1","20200127",""
"843466","20.3966","PF1","20200127",""
"843467","9.044","PF1","20200127",""
"843374","2.0566","PF1","20200127",""
"843375","2.0566","PF1","20200127",""
"843365","1.3108","PF1","20200127",""
"843366","1.3108","PF1","20200127",""
"843364","0.8249","PF1","20200127",""
"843342","0.8023","PF1","20200127",""
"843343","0.8023","PF1","20200127",""
"843349","1.1413","PF1","20200127",""
"843348","1.1413","PF1","20200127",""
"843344","0.9605","PF1","20200127",""
"843345","0.9605","PF1","20200127",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
