"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"301103","9.031638","PF1","20200301",""
"301105","5.333713","PF1","20200301",""
"301106","9.48409","PF1","20200301",""
"301108","3.811038","PF1","20200301",""
"301109","5.377218","PF1","20200301",""
"341128","5.986288","PF1","20200301",""
"341129","4.43751","PF1","20200301",""
"341130","3.271576","PF1","20200301",""
"346539","4.550623","PF1","20200301",""
"346541","4.550623","PF1","20200301",""
"352085","5.542537","PF1","20200301",""
"418455","9.675512","PF1","20200301",""
"418457","3.967656","PF1","20200301",""
"418458","3.967656","PF1","20200301",""
"418460","5.150992","PF1","20200301",""
"418474","5.803567","PF1","20200301",""
"418475","4.881261","PF1","20200301",""
"418476","3.671822","PF1","20200301",""
"418477","5.464228","PF1","20200301",""
"808567","3.497802","PF1","20200301",""
"808570","7.822199","PF1","20200301",""
"808573","3.941553","PF1","20200301",""
"808574","6.256019","PF1","20200301",""
"808576","5.760062","PF1","20200301",""
"808577","4.594128","PF1","20200301",""
"808578","6.899893","PF1","20200301",""
"808579","7.378448","PF1","20200301",""
"808581","3.671822","PF1","20200301",""
"808582","3.001845","PF1","20200301",""
"808583","5.359816","PF1","20200301",""
"808584","4.150377","PF1","20200301",""
"808585","5.542537","PF1","20200301",""
"808590","6.456142","PF1","20200301",""
"818118","4.607757","PF1","20200301",""
"818120","4.146142","PF1","20200301",""
"818122","1.51074","PF1","20200301",""
"818123","0.763763","PF1","20200301",""
"821450","7.378448","PF1","20200301",""
"821451","5.986288","PF1","20200301",""
"821452","6.673667","PF1","20200301",""
"821453","4.376603","PF1","20200301",""
"821457","10.040954","PF1","20200301",""
"821458","6.925996","PF1","20200301",""
"821459","10.040954","PF1","20200301",""
"821460","6.925996","PF1","20200301",""
"826446","6.437431","PF1","20200301",""
"826447","5.102944","PF1","20200301",""
"826448","5.530987","PF1","20200301",""
"836341","5.346341","PF1","20200301",""
"836342","4.221679","PF1","20200301",""
"836344","4.837756","PF1","20200301",""
"836346","5.102944","PF1","20200301",""
"836347","4.221679","PF1","20200301",""
"836348","3.332021","PF1","20200301",""
"836349","4.431504","PF1","20200301",""
"836350","4.150377","PF1","20200301",""
"836351","7.822199","PF1","20200301",""
"842745","2.627702","PF1","20200301",""
"842746","6.212514","PF1","20200301",""
"842747","4.376603","PF1","20200301",""
"842748","5.986288","PF1","20200301",""
"842749","5.377218","PF1","20200301",""
"842750","5.377218","PF1","20200301",""
"842751","4.933467","PF1","20200301",""
"842752","6.725873","PF1","20200301",""
"842753","4.933467","PF1","20200301",""
"842754","5.150992","PF1","20200301",""
