"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"004825","5.32","3373","20190201",""
"004865","5.45","3373","20190201",""
"037420","3.48","3373","20190201",""
"037473","2.74","3373","20190201",""
"037474","2.94","3373","20190201",""
"037475","3.38","3373","20190201",""
"037476","3.74","3373","20190201",""
"037477","3.91","3373","20190201",""
"037478","4.21","3373","20190201",""
"037479","6.66","3373","20190201",""
"037480","7.16","3373","20190201",""
"044236","16","3373","20190201",""
"044478","2.45","3373","20190201",""
"044480","2.45","3373","20190201",""
"044482","3.97","3373","20190201",""
"044485","5.49","3373","20190201",""
"044487","5.49","3373","20190201",""
"044491","3.81","3373","20190201",""
"044493","5.54","3373","20190201",""
"053231","3.36","3373","20190201",""
"053356","3.36","3373","20190201",""
"053854","4.42","3373","20190201",""
"053874","4.42","3373","20190201",""
"053880","4.76","3373","20190201",""
"053921","4.76","3373","20190201",""
"060661","2.64","3373","20190201",""
"060664","4.73","3373","20190201",""
"060671","5.95","3373","20190201",""
"060672","7.44","3373","20190201",""
"060673","8.26","3373","20190201",""
"060674","9.87","3373","20190201",""
"060760","3.5","3373","20190201",""
"060774","3.15","3373","20190201",""
"060775","3.54","3373","20190201",""
"060776","4.51","3373","20190201",""
"060777","5.24","3373","20190201",""
"060778","6.06","3373","20190201",""
"060847","1.47","3373","20190201",""
"060990","2.19","3373","20190201",""
"061004","2.89","3373","20190201",""
"061007","3.67","3373","20190201",""
"061043","7.33","3373","20190201",""
"061049","3.81","3373","20190201",""
"061051","5.54","3373","20190201",""
"061059","3.22","3373","20190201",""
"061077","7.36","3373","20190201",""
"061187","7.13","3373","20190201",""
"072642","2.64","3373","20190201",""
"072799","3.48","3373","20190201",""
"073277","5.02","3373","20190201",""
"079129","4.73","3373","20190201",""
"079131","6.17","3373","20190201",""
"079138","5.25","3373","20190201",""
"079292","5.83","3373","20190201",""
"079294","5.83","3373","20190201",""
"079296","5.32","3373","20190201",""
"079654","5.95","3373","20190201",""
"079657","7.44","3373","20190201",""
"079661","8.26","3373","20190201",""
"079685","9.87","3373","20190201",""
"079724","29.89","3373","20190201",""
"079745","8.39","3373","20190201",""
"079747","8.39","3373","20190201",""
"079756","7.64","3373","20190201",""
"079758","7.64","3373","20190201",""
"082376","2.53","3373","20190201",""
"083465","3.34","3373","20190201",""
"083637","4.36","3373","20190201",""
"083638","5.19","3373","20190201",""
"083697","6.08","3373","20190201",""
"085507","6.1","3373","20190201",""
"085509","6.35","3373","20190201",""
"089936","6.17","3373","20190201",""
"089941","8.47","3373","20190201",""
