"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"823998","39.95","20180817",""
"823999","39.95","20180817",""
"824000","39.95","20180817",""
"824001","39.95","20180817",""
"824002","39.95","20180817",""
"824003","39.95","20180817",""
"824004","39.95","20180817",""
"824005","39.95","20180817",""
"824006","39.95","20180817",""
"824007","39.95","20180817",""
"824008","39.95","20180817",""
"824009","39.95","20180817",""
"824010","39.95","20180817",""
"824011","39.95","20180817",""
"824012","39.95","20180817",""
"824013","39.95","20180817",""
"316682","13.95","20180817",""
"316681","11.95","20180817",""
"316598","9.95","20180817",""
"812986","35.95","20180817",""
"812987","39.95","20180817",""
"815436","39.95","20180817",""
"829112","35.95","20180817",""
"816226","29.95","20180817",""
"478189","17.95","20180817",""
"363788","13.95","20180817",""
"812730","9.95","20180817",""
"812731","16.95","20180817",""
"824872","3.95","20180817",""
"812732","25.95","20180817",""
"824870","6.95","20180817",""
"511342","8.95","20180817",""
"813153","13.95","20180817",""
"511374","10.95","20180817",""
"817302","6.95","20180817",""
"817304","9.95","20180817",""
"817303","5.95","20180817",""
"511345","9.95","20180817",""
"511334","12.95","20180817",""
"511348","9.95","20180817",""
"511339","8.95","20180817",""
"511333","9.95","20180817",""
"511336","8.95","20180817",""
"511340","8.95","20180817",""
"825940","9.95","20180817",""
"825939","9.95","20180817",""
"825941","9.95","20180817",""
"813151","13.95","20180817",""
"812588","9.95","20180817",""
"824873","1.45","20180817",""
"511335","6.95","20180817",""
"824868","19.95","20180817",""
"824869","39.95","20180817",""
"824867","18.95","20180817",""
"824866","18.95","20180817",""
"813150","13.95","20180817",""
"826437","9.95","20180817",""
"826439","9.95","20180817",""
"826434","10.95","20180817",""
"826436","9.95","20180817",""
"826435","10.95","20180817",""
"826438","9.95","20180817",""
"811545","8.95","20180817",""
"811542","3.95","20180817",""
"805364","19.95","20180817",""
"826086","4.95","20180817",""
"805370","13.95","20180817",""
"829695","10.95","20180817",""
"820646","19.95","20180817",""
"804155","12.95","20180817",""
"804153","12.95","20180817",""
"804152","12.95","20180817",""
"804151","12.95","20180817",""
"804154","12.95","20180817",""
"804150","12.95","20180817",""
"804147","12.95","20180817",""
"804146","12.95","20180817",""
"804145","12.95","20180817",""
"804148","12.95","20180817",""
"804144","12.95","20180817",""
"804149","12.95","20180817",""
"390536","16.95","20180817",""
"390535","16.95","20180817",""
"478191","16.95","20180817",""
"321201","17.95","20180817",""
"814206","10.95","20180817",""
"812995","19.95","20180817",""
"812996","24.95","20180817",""
"812994","17.95","20180817",""
"363785","14.95","20180817",""
"363784","14.95","20180817",""
"826319","3.95","20180817",""
"810620","15.95","20180817",""
"810621","15.95","20180817",""
"817999","15.95","20180817",""
"815490","15.95","20180817",""
"815493","15.95","20180817",""
"815492","15.95","20180817",""
"815489","13.95","20180817",""
"815040","12.95","20180817",""
"815041","12.95","20180817",""
"815042","12.95","20180817",""
"826318","14.95","20180817",""
"49064","11.95","20180817",""
"817410","8.95","20180817",""
"6784","13.95","20180817",""
"206251","25.95","20180817",""
"6897","10.95","20180817",""
"6896","10.95","20180817",""
"6899","10.95","20180817",""
"811540","7.95","20180817",""
"811618","14.95","20180817",""
"450371","8.95","20180817",""
"450370","8.95","20180817",""
"826316","9.95","20180817",""
"826317","9.95","20180817",""
"823984","49.9","20180817",""
"805900","4.95","20180817",""
"811543","8.95","20180817",""
"811625","9.95","20180817",""
"815714","650","20180817",""
"814508","14.95","20180817",""
"814507","19.95","20180817",""
