"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"801526","16.13","PF1","20190301",""
"801533","12.29","PF1","20190301",""
"801534","46.07","PF1","20190301",""
"801535","17.85","PF1","20190301",""
"801536","16.11","PF1","20190301",""
"801537","25.77","PF1","20190301",""
"801538","27.43","PF1","20190301",""
"801540","15.68","PF1","20190301",""
"801541","10.06","PF1","20190301",""
"801542","12.51","PF1","20190301",""
"801543","34.46","PF1","20190301",""
"801544","49.08","PF1","20190301",""
"801545","49.48","PF1","20190301",""
"801546","16.02","PF1","20190301",""
"801548","25.74","PF1","20190301",""
"801549","8.67","PF1","20190301",""
"801550","11.54","PF1","20190301",""
"801551","8.67","PF1","20190301",""
"801552","9.15","PF1","20190301",""
"801553","30.52","PF1","20190301",""
"801555","9.97","PF1","20190301",""
"801557","10.66","PF1","20190301",""
"801558","20.97","PF1","20190301",""
"801562","14.01","PF1","20190301",""
"801563","48.86","PF1","20190301",""
"801568","22.17","PF1","20190301",""
"801569","33","PF1","20190301",""
"801570","33.81","PF1","20190301",""
"801579","25.96","PF1","20190301",""
"801585","15.51","PF1","20190301",""
"801586","9.83","PF1","20190301",""
"801588","42.97","PF1","20190301",""
"801594","10.24","PF1","20190301",""
"801595","34.5","PF1","20190301",""
"801596","51.21","PF1","20190301",""
"801597","23.39","PF1","20190301",""
"801604","22.64","PF1","20190301",""
"801606","11.52","PF1","20190301",""
"801608","48.53","PF1","20190301",""
"801609","25.6","PF1","20190301",""
"801610","14.27","PF1","20190301",""
"801611","34.3","PF1","20190301",""
"801612","34.3","PF1","20190301",""
"801613","13.91","PF1","20190301",""
"801614","9.33","PF1","20190301",""
"801615","16.13","PF1","20190301",""
"801616","28.26","PF1","20190301",""
"801617","28.03","PF1","20190301",""
"801618","16.87","PF1","20190301",""
"801619","37.11","PF1","20190301",""
"801620","37.01","PF1","20190301",""
"801621","14.47","PF1","20190301",""
"801622","9.98","PF1","20190301",""
"801623","17.19","PF1","20190301",""
"801624","27.16","PF1","20190301",""
"801625","35.86","PF1","20190301",""
"801626","36.85","PF1","20190301",""
"801627","14.53","PF1","20190301",""
"801628","8.65","PF1","20190301",""
"801629","16.38","PF1","20190301",""
"801630","31.54","PF1","20190301",""
"801631","32.22","PF1","20190301",""
"801632","15.06","PF1","20190301",""
"801633","37.41","PF1","20190301",""
"801634","32.85","PF1","20190301",""
"801658","13.16","PF1","20190301",""
"801659","50.1","PF1","20190301",""
"801660","48.6","PF1","20190301",""
"801661","11.54","PF1","20190301",""
"801662","46.82","PF1","20190301",""
"801663","12.23","PF1","20190301",""
"801664","4.92","PF1","20190301",""
"801665","15.51","PF1","20190301",""
"801671","24.63","PF1","20190301",""
"801672","33.02","PF1","20190301",""
"801673","11.09","PF1","20190301",""
"801674","9.74","PF1","20190301",""
"801675","27.92","PF1","20190301",""
"801676","32.83","PF1","20190301",""
"801677","18.6","PF1","20190301",""
"801678","11.95","PF1","20190301",""
"801679","22.93","PF1","20190301",""
"801681","20.64","PF1","20190301",""
"801685","8.67","PF1","20190301",""
"801686","8.67","PF1","20190301",""
"801687","8.67","PF1","20190301",""
"801690","27.29","PF1","20190301",""
"801694","24.63","PF1","20190301",""
"801695","15.41","PF1","20190301",""
"801696","24.98","PF1","20190301",""
"801697","8.67","PF1","20190301",""
"801698","12.02","PF1","20190301",""
"801699","33.57","PF1","20190301",""
"801700","49.04","PF1","20190301",""
"801702","42.11","PF1","20190301",""
"801703","27.82","PF1","20190301",""
"801704","43.75","PF1","20190301",""
"801706","22.37","PF1","20190301",""
"801707","7.37","PF1","20190301",""
"801708","14.81","PF1","20190301",""
"801709","49.7","PF1","20190301",""
"801710","40.84","PF1","20190301",""
"801716","9.8","PF1","20190301",""
"801717","39.12","PF1","20190301",""
"801719","12.27","PF1","20190301",""
"801720","20.55","PF1","20190301",""
"801722","22.77","PF1","20190301",""
"801723","43.76","PF1","20190301",""
"801729","10.22","PF1","20190301",""
"801730","19.78","PF1","20190301",""
"801731","40.08","PF1","20190301",""
"801732","10.22","PF1","20190301",""
"801733","19.78","PF1","20190301",""
"801734","40.08","PF1","20190301",""
"801737","21.1","PF1","20190301",""
"801738","20.53","PF1","20190301",""
"801739","32.98","PF1","20190301",""
"801740","47.45","PF1","20190301",""
"801746","20.24","PF1","20190301",""
"801747","40.18","PF1","20190301",""
"801749","21.09","PF1","20190301",""
"801750","32.35","PF1","20190301",""
"801751","25.87","PF1","20190301",""
"801753","30.25","PF1","20190301",""
"801754","41.19","PF1","20190301",""
"801755","8.67","PF1","20190301",""
"801770","10.98","PF1","20190301",""
"801771","21.61","PF1","20190301",""
"803452","1.88","PF1","20190301",""
"804804","18.26","PF1","20190301",""
"804807","18.26","PF1","20190301",""
"804811","18.07","PF1","20190301",""
"804818","40.5365","PF1","20190301",""
"804820","43.418","PF1","20190301",""
"804825","2.6775","PF1","20190301",""
"804826","34.8755","PF1","20190301",""
"804828","35.3005","PF1","20190301",""
"804832","50.371","PF1","20190301",""
"804833","2.533","PF1","20190301",""
"804834","14.246","PF1","20190301",""
"804835","50.558","PF1","20190301",""
"804836","10.3785","PF1","20190301",""
"804837","46.24","PF1","20190301",""
"804838","24.2165","PF1","20190301",""
"804840","14.297","PF1","20190301",""
"804841","34.612","PF1","20190301",""
"804843","10.795","PF1","20190301",""
"804847","36.261","PF1","20190301",""
"804851","35.989","PF1","20190301",""
"804852","49.3","PF1","20190301",""
"804853","38.0715","PF1","20190301",""
