"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"830501","0.72","PF1","20190401",""
"830503","0.72","PF1","20190401",""
"830500","0.72","PF1","20190401",""
"830502","0.72","PF1","20190401",""
"830497","0.96","PF1","20190401",""
"830496","0.96","PF1","20190401",""
"830495","0.96","PF1","20190401",""
"822062","2.59","PF1","20190401",""
"822058","2.59","PF1","20190401",""
"822065","2.59","PF1","20190401",""
"825912","2.59","PF1","20190401",""
"825913","2.59","PF1","20190401",""
"814573","2.08","PF1","20190401",""
"830505","1","PF1","20190401",""
"830507","1","PF1","20190401",""
"830504","1","PF1","20190401",""
"830506","1","PF1","20190401",""
"814569","1.64","PF1","20190401",""
"814574","2.08","PF1","20190401",""
"814571","1.89","PF1","20190401",""
"822066","8.57","PF1","20190401",""
"822067","8.57","PF1","20190401",""
"822051","7.6","PF1","20190401",""
"822054","7.6","PF1","20190401",""
"822063","8.57","PF1","20190401",""
"822071","9.1","PF1","20190401",""
"830489","9.1","PF1","20190401",""
"822070","9.1","PF1","20190401",""
"825914","9.1","PF1","20190401",""
"830491","10.15","PF1","20190401",""
"822074","10.15","PF1","20190401",""
"822052","25","PF1","20190401",""
"822055","25","PF1","20190401",""
"830508","2.5","PF1","20190401",""
"825911","8.14","PF1","20190401",""
"837063","31.98","PF1","20190401",""
"822057","31.65","PF1","20190401",""
"830494","31.65","PF1","20190401",""
"822061","21.66","PF1","20190401",""
"822069","32.09","PF1","20190401",""
"822068","32.09","PF1","20190401",""
"830490","36.35","PF1","20190401",""
"822073","36.35","PF1","20190401",""
"822072","36.35","PF1","20190401",""
"822060","9.04","PF1","20190401",""
"822059","9.04","PF1","20190401",""
"822075","41.21","PF1","20190401",""
"822056","7.78","PF1","20190401",""
"830493","7.78","PF1","20190401",""
"830492","41.21","PF1","20190401",""
"825915","37.3","PF1","20190401",""
"822064","32.89","PF1","20190401",""
"837061","8.12","PF1","20190401",""
"819140","8.12","PF1","20190401",""
"814572","1.84","PF1","20190401",""
"830499","1.41","PF1","20190401",""
"828811","14.85","PF1","20190401",""
"828810","13.87","PF1","20190401",""
"828229","28.27","PF1","20190401",""
"828809","7.07","PF1","20190401",""
"540378","5.56","PF1","20190401",""
"825905","5.56","PF1","20190401",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
