"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"511335","1.71","PF1","20200120",""
"511345","2.84","PF1","20200120",""
"511340","2.33","PF1","20200120",""
"511333","2.31","PF1","20200120",""
"511339","2.29","PF1","20200120",""
"511342","2.29","PF1","20200120",""
"511344","2.84","PF1","20200120",""
"511338","2.57","PF1","20200120",""
"511349","2.29","PF1","20200120",""
"813093","13.56","PF1","20200120",""
"822090","3.02","PF1","20200120",""
"822092","3","PF1","20200120",""
"822086","3","PF1","20200120",""
"822089","7.74","PF1","20200120",""
"822093","7.84","PF1","20200120",""
"822087","7.83","PF1","20200120",""
"822088","2.97","PF1","20200120",""
"822091","7.89","PF1","20200120",""
"814021","3.76","PF1","20200120",""
"814034","3.76","PF1","20200120",""
"814027","15.88","PF1","20200120",""
"813997","8.15","PF1","20200120",""
"813982","2.75","PF1","20200120",""
"814031","2.64","PF1","20200120",""
"822085","26.28","PF1","20200120",""
"814023","17.58","PF1","20200120",""
"814028","5.6","PF1","20200120",""
"814035","10.65","PF1","20200120",""
"822084","7.68","PF1","20200120",""
"814038","10.74","PF1","20200120",""
"814036","10.62","PF1","20200120",""
"814013","4.91","PF1","20200120",""
"46392","0.682","PF1","20200120",""
"44725","1.771","PF1","20200120",""
"44506","0.77","PF1","20200120",""
"825897","39.6","PF1","20200120",""
"825898","98","PF1","20200120",""
"825894","130.9","PF1","20200120",""
"822988","4.62","PF1","20200120",""
"837742","0.79","PF1","20200120",""
"837736","0.79","PF1","20200120",""
"837737","0.79","PF1","20200120",""
"837738","0.79","PF1","20200120",""
"837739","0.79","PF1","20200120",""
"837740","0.79","PF1","20200120",""
"837741","0.79","PF1","20200120",""
"837743","0.79","PF1","20200120",""
"837744","0.79","PF1","20200120",""
"837745","0.79","PF1","20200120",""
"837752","0.84","PF1","20200120",""
"837748","0.79","PF1","20200120",""
"837753","0.84","PF1","20200120",""
"837746","0.79","PF1","20200120",""
"837747","0.79","PF1","20200120",""
"837750","0.84","PF1","20200120",""
"837751","0.84","PF1","20200120",""
"837754","4.54","PF1","20200120",""
"469337","4.64","PF1","20200120",""
"838560","1.81","PF1","20200120",""
"828781","2.38525","PF1","20200120",""
"838561","3.43","PF1","20200120",""
"823741","2.85","PF1","20200120",""
"823746","3.7","PF1","20200120",""
"823745","3.7","PF1","20200120",""
"835079","2.99","PF1","20200120",""
"835078","2.99","PF1","20200120",""
"835080","2.99","PF1","20200120",""
"837749","0.84","PF1","20200120",""
"838562","1.45","PF1","20200120",""
"469370","2.2838","PF1","20200120",""
"469364","2.2533","PF1","20200120",""
"469424","2.639","PF1","20200120",""
"469425","2.639","PF1","20200120",""
"469423","2.639","PF1","20200120",""
"469333","2.4259","PF1","20200120",""
"464920","2.4259","PF1","20200120",""
"814533","11.2767","PF1","20200120",""
"838614","2.65","PF1","20200120",""
"838613","2.65","PF1","20200120",""
"823738","2.5172","PF1","20200120",""
"469373","2.2229","PF1","20200120",""
"806948","0.7105","PF1","20200120",""
"806953","2.3041","PF1","20200120",""
"806952","2.3041","PF1","20200120",""
"822203","3.64","PF1","20200120",""
"806951","2.436","PF1","20200120",""
"806954","2.436","PF1","20200120",""
"819132","2.1","PF1","20200120",""
"469363","2.0605","PF1","20200120",""
"469335","4.6386","PF1","20200120",""
"469336","4.64","PF1","20200120",""
"838612","2.65","PF1","20200120",""
"811625","4.263","PF1","20200120",""
