"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"837977","10.35","100307","20190601",""
"837978","22.74","100307","20190601",""
"837979","10.35","100307","20190601",""
"837980","22.74","100307","20190601",""
"837981","37.46","100307","20190601",""
"837982","38.13","100307","20190601",""
"837983","10.35","100307","20190601",""
"837984","22.74","100307","20190601",""
"837985","38.13","100307","20190601",""
"837986","10.35","100307","20190601",""
"837987","22.74","100307","20190601",""
"837988","37.46","100307","20190601",""
"837989","10.35","100307","20190601",""
"837990","22.74","100307","20190601",""
"837991","37.46","100307","20190601",""
"837992","10.35","100307","20190601",""
"837993","22.74","100307","20190601",""
"837994","38.63","100307","20190601",""
"837995","37.46","100307","20190601",""
"837996","9.05","100307","20190601",""
"837997","20.06","100307","20190601",""
"837998","30.1","100307","20190601",""
"837999","10.35","100307","20190601",""
"838000","23.41","100307","20190601",""
"838001","34.78","100307","20190601",""
"838002","9.7","100307","20190601",""
"838003","22.74","100307","20190601",""
"838004","34.11","100307","20190601",""
"838005","12.29","100307","20190601",""
"838006","28.09","100307","20190601",""
"838007","46.82","100307","20190601",""
"838008","11.64","100307","20190601",""
"838009","25.42","100307","20190601",""
"838010","42.81","100307","20190601",""
"838011","12.93","100307","20190601",""
"838012","30.1","100307","20190601",""
"838013","49.5","100307","20190601",""
"838014","11.64","100307","20190601",""
"838015","25.42","100307","20190601",""
"838016","42.81","100307","20190601",""
"838017","12.29","100307","20190601",""
"838018","28.09","100307","20190601",""
"838019","46.82","100307","20190601",""
"838020","12.93","100307","20190601",""
"838021","30.1","100307","20190601",""
"838022","49.5","100307","20190601",""
"838023","13.58","100307","20190601",""
"838024","32.11","100307","20190601",""
"838025","52.18","100307","20190601",""
"838026","3.12","100307","20190601",""
"838027","6.56","100307","20190601",""
"838028","3.12","100307","20190601",""
"838029","6.56","100307","20190601",""
"838030","3.12","100307","20190601",""
"838031","6.56","100307","20190601",""
"838032","12.29","100307","20190601",""
"838033","25.42","100307","20190601",""
"838034","13.58","100307","20190601",""
"838035","28.76","100307","20190601",""
"838036","14.23","100307","20190601",""
"838037","32.11","100307","20190601",""
"838038","15.52","100307","20190601",""
"838039","35.45","100307","20190601",""
"838040","13.58","100307","20190601",""
"838041","29.43","100307","20190601",""
"838042","48.16","100307","20190601",""
"838043","29.43","100307","20190601",""
"838044","48.16","100307","20190601",""
"838045","13.58","100307","20190601",""
"838046","29.43","100307","20190601",""
"838047","48.16","100307","20190601",""
"838048","15.52","100307","20190601",""
"838049","36.12","100307","20190601",""
"838050","56.86","100307","20190601",""
"838051","16.82","100307","20190601",""
"838052","39.46","100307","20190601",""
"838053","62.21","100307","20190601",""
"838054","17.46","100307","20190601",""
"838055","42.81","100307","20190601",""
"838056","68.9","100307","20190601",""
"838057","14.87","100307","20190601",""
"838058","30.77","100307","20190601",""
"838059","51.51","100307","20190601",""
"838060","13.58","100307","20190601",""
"838061","29.43","100307","20190601",""
"838062","48.16","100307","20190601",""
"838063","3.74","100307","20190601",""
"838064","6.87","100307","20190601",""
"838065","3.74","100307","20190601",""
"838066","6.87","100307","20190601",""
"838067","4.37","100307","20190601",""
"838068","8.12","100307","20190601",""
"838069","3.75","100307","20190601",""
"838070","6.87","100307","20190601",""
"838071","3.74","100307","20190601",""
"838072","6.87","100307","20190601",""
"838073","3.74","100307","20190601",""
"838074","6.87","100307","20190601",""
"838075","4.37","100307","20190601",""
"838076","8.12","100307","20190601",""
"838077","5","100307","20190601",""
"838078","8.75","100307","20190601",""
"838079","17.46","100307","20190601",""
"838080","33.44","100307","20190601",""
"838082","18.76","100307","20190601",""
"838083","36.79","100307","20190601",""
"838084","21.34","100307","20190601",""
"838085","42.81","100307","20190601",""
"838086","23.29","100307","20190601",""
"838087","44.82","100307","20190601",""
"838088","18.11","100307","20190601",""
"838089","34.78","100307","20190601",""
"838090","3.12","100307","20190601",""
"838091","3.12","100307","20190601",""
"838092","4.07","100307","20190601",""
"838093","3.74","100307","20190601",""
"838094","3.74","100307","20190601",""
"838095","3.74","100307","20190601",""
"838096","4.99","100307","20190601",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
