"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"006924","800","A999","20190425",""
"006925","440","A999","20190425",""
"006926","610","A999","20190425",""
"006927","440","A999","20190425",""
"006937","440","A999","20190425",""
"006938","550","A999","20190425",""
"007116","550","A999","20190425",""
"007288","500","A999","20190425",""
"027493","480","A999","20190425",""
"027495","750","A999","20190425",""
"027496","850","A999","20190425",""
"027497","440","A999","20190425",""
"027504","460","A999","20190425",""
"027511","600","A999","20190425",""
"027532","540","A999","20190425",""
"027533","900","A999","20190425",""
"031075","650","A999","20190425",""
"031079","850","A999","20190425",""
"031084","520","A999","20190425",""
"031088","750","A999","20190425",""
"031092","560","A999","20190425",""
"031106","480","A999","20190425",""
"031142","390","A999","20190425",""
"031171","370","A999","20190425",""
"031218","590","A999","20190425",""
"031287","520","A999","20190425",""
"031291","440","A999","20190425",""
"031463","520","A999","20190425",""
"031471","540","A999","20190425",""
"031472","440","A999","20190425",""
"031474","560","A999","20190425",""
"031478","700","A999","20190425",""
"031479","500","A999","20190425",""
"031584","450","A999","20190425",""
"031616","560","A999","20190425",""
"031621","460","A999","20190425",""
"031622","540","A999","20190425",""
"031623","460","A999","20190425",""
"031655","500","A999","20190425",""
"031743","480","A999","20190425",""
"052316","540","A999","20190425",""
"052320","420","A999","20190425",""
"052321","500","A999","20190425",""
"052326","500","A999","20190425",""
"052329","590","A999","20190425",""
"052362","900","A999","20190425",""
"052384","670","A999","20190425",""
"052385","850","A999","20190425",""
"052389","1500","A999","20190425",""
"052390","400","A999","20190425",""
"052392","500","A999","20190425",""
"052396","400","A999","20190425",""
"052632","830","A999","20190425",""
"052633","930","A999","20190425",""
"052636","650","A999","20190425",""
"052639","440","A999","20190425",""
"052640","540","A999","20190425",""
"052641","520","A999","20190425",""
"052642","440","A999","20190425",""
"052652","520","A999","20190425",""
"052653","320","A999","20190425",""
"052654","420","A999","20190425",""
"052655","480","A999","20190425",""
"052656","560","A999","20190425",""
"052657","480","A999","20190425",""
"052662","580","A999","20190425",""
"052663","440","A999","20190425",""
"052664","520","A999","20190425",""
"052668","490","A999","20190425",""
"052669","540","A999","20190425",""
"052670","350","A999","20190425",""
"053133","440","A999","20190425",""
"053138","500","A999","20190425",""
"053228","550","A999","20190425",""
"053348","500","A999","20190425",""
"053486","600","A999","20190425",""
"053909","520","A999","20190425",""
"055929","850","A999","20190425",""
"055931","670","A999","20190425",""
"055932","440","A999","20190425",""
"055934","550","A999","20190425",""
"055935","680","A999","20190425",""
"055942","250","A999","20190425",""
"086228","845","A999","20190425",""
"086236","710","A999","20190425",""
"086247","500","A999","20190425",""
"086251","520","A999","20190425",""
"112057","500","A999","20190425",""
"112457","480","A999","20190425",""
"114391","490","A999","20190425",""
"115291","500","A999","20190425",""
"144112","1000","A999","20190425",""
"145936","500","A999","20190425",""
"147650","540","A999","20190425",""
"148292","400","A999","20190425",""
"150413","380","A999","20190425",""
"167802","440","A999","20190425",""
"167803","540","A999","20190425",""
"168195","540","A999","20190425",""
