"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"003946","30.33","100027","20200101",""
"004667","2.85","100027","20200101",""
"9413","4.57","100027","20200101",""
"009793","3.36","100027","20200101",""
"009794","9.65","100027","20200101",""
"009801","5.72","100027","20200101",""
"009806","4.37","100027","20200101",""
"009809","3.98","100027","20200101",""
"009816","2.09","100027","20200101",""
"009817","6.66","100027","20200101",""
"009824","8.76","100027","20200101",""
"009830","2.34","100027","20200101",""
"009846","2.61","100027","20200101",""
"009849","2.32","100027","20200101",""
"009850","5.12","100027","20200101",""
"009857","5.13","100027","20200101",""
"009860","3.99","100027","20200101",""
"015805","2.39","100027","20200101",""
"020411","2.25","100027","20200101",""
"031934","2.4","100027","20200101",""
"031938","2.43","100027","20200101",""
"034766","10","100027","20200101",""
"034771","10","100027","20200101",""
"034776","10.04","100027","20200101",""
"034778","30.33","100027","20200101",""
"035643","4.88","100027","20200101",""
"035647","7.24","100027","20200101",""
"035651","7.84","100027","20200101",""
"035656","9.35","100027","20200101",""
"035664","5.74","100027","20200101",""
"035667","8.47","100027","20200101",""
"036123","5.66","100027","20200101",""
"036885","11.07","100027","20200101",""
"045172","5.32","100027","20200101",""
"045184","5.32","100027","20200101",""
"047852","9.35","100027","20200101",""
"053466","14.83","100027","20200101",""
"057747","11.15","100027","20200101",""
"057749","2.2","100027","20200101",""
"060410","10","100027","20200101",""
"071048","2.5","100027","20200101",""
"071788","4.7","100027","20200101",""
"071790","3.88","100027","20200101",""
"074262","2.52","100027","20200101",""
"077070","1.91","100027","20200101",""
"081337","10.04","100027","20200101",""
"085547","4.63","100027","20200101",""
"085549","8.03","100027","20200101",""
"122069","2.05","100027","20200101",""
"133096","6.19","100027","20200101",""
"133099","4.52","100027","20200101",""
"137506","8.62","100027","20200101",""
"137508","8.48","100027","20200101",""
"137509","16.67","100027","20200101",""
"137510","2.21","100027","20200101",""
"137512","7","100027","20200101",""
"144039","2.98","100027","20200101",""
"144045","5.78","100027","20200101",""
"144047","4.22","100027","20200101",""
"146950","30.33","100027","20200101",""
"152641","8.79","100027","20200101",""
"152644","4.41","100027","20200101",""
"158670","2.76","100027","20200101",""
"158672","14.38","100027","20200101",""
"169043","2.11","100027","20200101",""
"169101","4.24","100027","20200101",""
"169106","7.38","100027","20200101",""
"169126","5.19","100027","20200101",""
"176169","4.91","100027","20200101",""
"182541","8.89","100027","20200101",""
"182543","31.37","100027","20200101",""
"194974","2.02","100027","20200101",""
"194977","4.45","100027","20200101",""
"195174","10.99","100027","20200101",""
"195177","33.82","100027","20200101",""
"195190","33.82","100027","20200101",""
"212100","5.3","100027","20200101",""
"214260","21.36","100027","20200101",""
"223249","3.85","100027","20200101",""
"223250","2.32","100027","20200101",""
"238698","4.81","100027","20200101",""
"238724","1.93","100027","20200101",""
"238726","4","100027","20200101",""
"238727","1.86","100027","20200101",""
"247920","9.87","100027","20200101",""
"247921","33.26","100027","20200101",""
"247925","33.26","100027","20200101",""
"247926","33.26","100027","20200101",""
"259710","2.68","100027","20200101",""
"259713","2.71","100027","20200101",""
"259714","2.6","100027","20200101",""
"271662","3","100027","20200101",""
"287977","9.27","100027","20200101",""
"305554","3.43","100027","20200101",""
"305879","6.07","100027","20200101",""
"312326","4.27","100027","20200101",""
"338010","7.25","100027","20200101",""
"338011","7.5","100027","20200101",""
"338012","3.02","100027","20200101",""
"338013","1.86","100027","20200101",""
"338014","2.6","100027","20200101",""
"338015","3.02","100027","20200101",""
"341011","3.67","100027","20200101",""
"341012","3.4","100027","20200101",""
"341013","2.53","100027","20200101",""
"341015","1.89","100027","20200101",""
"343391","1.88","100027","20200101",""
"373926","3.82","100027","20200101",""
"373929","2.09","100027","20200101",""
"384477","2.68","100027","20200101",""
"384478","1.79","100027","20200101",""
"436901","30.33","100027","20200101",""
"440380","3.05","100027","20200101",""
"440381","1.89","100027","20200101",""
"440383","3.05","100027","20200101",""
"450373","1.8","100027","20200101",""
"453853","32.09","100027","20200101",""
"457754","3.29","100027","20200101",""
"477465","31.72","100027","20200101",""
"477466","9.39","100027","20200101",""
"477467","31.72","100027","20200101",""
"477468","31.72","100027","20200101",""
"477471","31.72","100027","20200101",""
"477472","9.35","100027","20200101",""
"477473","35.39","100027","20200101",""
"477475","10.99","100027","20200101",""
"485800","32.09","100027","20200101",""
"496461","3.56","100027","20200101",""
"496462","11.72","100027","20200101",""
"496463","4.38","100027","20200101",""
"497669","3.35","100027","20200101",""
"500690","21.36","100027","20200101",""
"504033","3.08","100027","20200101",""
"504035","8.67","100027","20200101",""
"513735","7.66","100027","20200101",""
"513736","7.93","100027","20200101",""
"525028","3.42","100027","20200101",""
"525029","43.87","100027","20200101",""
"536021","4.28","100027","20200101",""
"536025","8.92","100027","20200101",""
"809732","9.79","100027","20200101",""
"814492","2.87","100027","20200101",""
"814493","5.39","100027","20200101",""
"814494","2.24","100027","20200101",""
"814495","2.54","100027","20200101",""
"814496","2.54","100027","20200101",""
"816158","11.92","100027","20200101",""
"816159","1.08","100027","20200101",""
"816161","2.7","100027","20200101",""
"816163","2.7","100027","20200101",""
"816166","6.8","100027","20200101",""
"819812","24.23","100027","20200101",""
"819815","2.68","100027","20200101",""
"819816","2.46","100027","20200101",""
"819817","5.73","100027","20200101",""
"819818","2.77","100027","20200101",""
"819819","2.77","100027","20200101",""
"819820","3.94","100027","20200101",""
"822489","1.48","100027","20200101",""
"822490","5.66","100027","20200101",""
"822491","3.43","100027","20200101",""
"822492","11.72","100027","20200101",""
"822493","11.72","100027","20200101",""
"822494","21.38","100027","20200101",""
"822495","21.38","100027","20200101",""
"823709","1.21","100027","20200101",""
"826331","29.83","100027","20200101",""
"826332","29.83","100027","20200101",""
"826334","29.41","100027","20200101",""
"826335","9.31","100027","20200101",""
"826336","29.41","100027","20200101",""
"826442","4.96","100027","20200101",""
"826443","9.65","100027","20200101",""
"826445","7.24","100027","20200101",""
"835172","26.76","100027","20200101",""
"835173","26.76","100027","20200101",""
"835177","10","100027","20200101",""
"836214","32.09","100027","20200101",""
"836215","32.09","100027","20200101",""
"836246","57.1","100027","20200101",""
"836248","2.85","100027","20200101",""
"836249","2.85","100027","20200101",""
"829157","0.35","100027","20200101",""
"829158","0.35","100027","20200101",""
"829159","0.35","100027","20200101",""
"829160","0.35","100027","20200101",""
"829161","1.26","100027","20200101",""
"841655","1.44","100027","20200101",""
"841656","1.44","100027","20200101",""
"841657","1.44","100027","20200101",""
"829162","3.67","100027","20200101",""
"841659","3.68","100027","20200101",""
"841660","3.68","100027","20200101",""
"841661","3.68","100027","20200101",""
"841658","3.73","100027","20200101",""
"823801","6.92","100027","20200101",""
"450377","2.62","100027","20200101",""
"823790","12.89","100027","20200101",""
"823791","15.35","100027","20200101",""
"832334","18.98","100027","20200101",""
"832335","11.93","100027","20200101",""
"832336","14.27","100027","20200101",""
"823792","5.61","100027","20200101",""
"823793","6.47","100027","20200101",""
"823794","4.31","100027","20200101",""
"823795","5.18","100027","20200101",""
"823796","5.18","100027","20200101",""
"823797","4.31","100027","20200101",""
"824460","0.82","100027","20200101",""
"823782","17.87","100027","20200101",""
"823784","26.82","100027","20200101",""
"823787","12.89","100027","20200101",""
"823788","15.35","100027","20200101",""
"823789","20.27","100027","20200101",""
"467847","22.37","100027","20200101",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
