"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"833361","20.9034","PF1","20190628",""
"833362","14.5278","PF1","20190628",""
"833363","5.4558","PF1","20190628",""
"833364","14.9688","PF1","20190628",""
"833365","7.434","PF1","20190628",""
"833366","16.7076","PF1","20190628",""
"833367","18.1818","PF1","20190628",""
"833368","9.5886","PF1","20190628",""
"833369","19.7316","PF1","20190628",""
"833370","27.8334","PF1","20190628",""
"833371","11.5038","PF1","20190628",""
"833372","6.2244","PF1","20190628",""
"833373","6.6024","PF1","20190628",""
"833374","6.8922","PF1","20190628",""
"833375","5.796","PF1","20190628",""
"833376","9.0594","PF1","20190628",""
"833377","9.891","PF1","20190628",""
"833378","3.9564","PF1","20190628",""
"833379","9.0216","PF1","20190628",""
"833380","7.182","PF1","20190628",""
"833381","9.0216","PF1","20190628",""
"833382","6.6276","PF1","20190628",""
"833383","9.7272","PF1","20190628",""
"833384","9.7272","PF1","20190628",""
"833385","4.3344","PF1","20190628",""
"833386","4.2966","PF1","20190628",""
"833387","24.7212","PF1","20190628",""
"833388","7.3962","PF1","20190628",""
"833389","9.198","PF1","20190628",""
"833390","7.3584","PF1","20190628",""
"833391","3.9186","PF1","20190628",""
"833392","9.5634","PF1","20190628",""
"833393","17.3502","PF1","20190628",""
"833394","12.5244","PF1","20190628",""
"833395","13.0032","PF1","20190628",""
"833396","21.4578","PF1","20190628",""
"833397","21.3948","PF1","20190628",""
"833398","30.1644","PF1","20190628",""
"833399","4.0194","PF1","20190628",""
"833400","3.4398","PF1","20190628",""
"833401","6.6276","PF1","20190628",""
"833402","5.733","PF1","20190628",""
"833403","6.2748","PF1","20190628",""
"833404","6.9174","PF1","20190628",""
"833405","7.0686","PF1","20190628",""
"833406","6.6276","PF1","20190628",""
"833407","9.7146","PF1","20190628",""
"833408","4.9518","PF1","20190628",""
"833409","5.4558","PF1","20190628",""
"833410","5.2542","PF1","20190628",""
"833411","6.7284","PF1","20190628",""
"833412","7.0308","PF1","20190628",""
"833413","12.726","PF1","20190628",""
"833414","13.8096","PF1","20190628",""
"833415","9.2358","PF1","20190628",""
"833416","2.3058","PF1","20190628",""
"833417","2.583","PF1","20190628",""
"833418","3.6036","PF1","20190628",""
"833419","4.1832","PF1","20190628",""
"833420","5.733","PF1","20190628",""
"833421","7.812","PF1","20190628",""
"833422","9.6642","PF1","20190628",""
"833423","2.8728","PF1","20190628",""
"833424","7.6482","PF1","20190628",""
"833425","2.8476","PF1","20190628",""
"833426","5.3928","PF1","20190628",""
"833427","3.8556","PF1","20190628",""
"833428","9.1224","PF1","20190628",""
"833429","8.2278","PF1","20190628",""
"833430","4.1454","PF1","20190628",""
"833431","9.4248","PF1","20190628",""
"833432","6.5646","PF1","20190628",""
"833433","11.088","PF1","20190628",""
"833434","6.2118","PF1","20190628",""
"833435","4.977","PF1","20190628",""
"833436","7.749","PF1","20190628",""
"833437","9.1224","PF1","20190628",""
"833438","10.5084","PF1","20190628",""
"833439","4.5864","PF1","20190628",""
"833440","5.6196","PF1","20190628",""
"833441","7.3962","PF1","20190628",""
"833442","13.3308","PF1","20190628",""
"833443","4.1832","PF1","20190628",""
"833444","6.5646","PF1","20190628",""
"833445","9.3744","PF1","20190628",""
"833446","4.7376","PF1","20190628",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
