"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"830501","0.72","9083","20190401",""
"830503","0.72","9083","20190401",""
"830500","0.72","9083","20190401",""
"830502","0.72","9083","20190401",""
"830497","0.96","9083","20190401",""
"830496","0.96","9083","20190401",""
"830495","0.96","9083","20190401",""
"822062","2.59","9083","20190401",""
"822058","2.59","9083","20190401",""
"822065","2.59","9083","20190401",""
"825912","2.59","9083","20190401",""
"825913","2.59","9083","20190401",""
"814573","2.08","9083","20190401",""
"830505","1","9083","20190401",""
"830507","1","9083","20190401",""
"830504","1","9083","20190401",""
"830506","1","9083","20190401",""
"814569","1.64","9083","20190401",""
"814574","2.08","9083","20190401",""
"814571","1.89","9083","20190401",""
"822066","8.57","9083","20190401",""
"822067","8.57","9083","20190401",""
"822051","7.6","9083","20190401",""
"822054","7.6","9083","20190401",""
"822063","8.57","9083","20190401",""
"822071","9.1","9083","20190401",""
"830489","9.1","9083","20190401",""
"822070","9.1","9083","20190401",""
"825914","9.1","9083","20190401",""
"830491","10.15","9083","20190401",""
"822074","10.15","9083","20190401",""
"822052","25","9083","20190401",""
"822055","25","9083","20190401",""
"830508","2.5","9083","20190401",""
"825911","8.14","9083","20190401",""
"837063","31.98","9083","20190401",""
"822057","31.65","9083","20190401",""
"830494","31.65","9083","20190401",""
"822061","21.66","9083","20190401",""
"822069","32.09","9083","20190401",""
"822068","32.09","9083","20190401",""
"830490","36.35","9083","20190401",""
"822073","36.35","9083","20190401",""
"822072","36.35","9083","20190401",""
"822060","9.04","9083","20190401",""
"822059","9.04","9083","20190401",""
"822075","41.21","9083","20190401",""
"822056","7.78","9083","20190401",""
"830493","7.78","9083","20190401",""
"830492","41.21","9083","20190401",""
"825915","37.3","9083","20190401",""
"822064","32.89","9083","20190401",""
"837061","8.12","9083","20190401",""
"819140","8.12","9083","20190401",""
"814572","1.84","9083","20190401",""
"830499","1.41","9083","20190401",""
"828811","14.85","9083","20190401",""
"828810","13.87","9083","20190401",""
"828229","28.27","9083","20190401",""
"828809","7.07","9083","20190401",""
"540378","5.56","9083","20190401",""
"825905","5.56","9083","20190401",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
