"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"834161","9.04656","100281","20190114",""
"834179","11.29128","100281","20190114",""
"834197","10.4528","100281","20190114",""
"834151","6.73228","100281","20190114",""
"834167","20.43936","100281","20190114",""
"834169","8.77866","100281","20190114",""
"834188","25.70336","100281","20190114",""
"834193","12.40518","100281","20190114",""
"834148","36.10728","100281","20190114",""
"834178","4.57498","100281","20190114",""
"834182","37.0407","100281","20190114",""
"834192","4.79964","100281","20190114",""
"834141","37.75416","100281","20190114",""
"834155","9.04656","100281","20190114",""
"834159","6.73228","100281","20190114",""
"834185","34.5732","100281","20190114",""
"834199","30.95232","100281","20190114",""
"834177","30.6816","100281","20190114",""
"834200","10.14636","100281","20190114",""
"834158","21.103","100281","20190114",""
"834194","32.15928","100281","20190114",""
"834166","8.77866","100281","20190114",""
"834173","7.73526","100281","20190114",""
"834175","30.6816","100281","20190114",""
"834140","8.03888","100281","20190114",""
"834201","30.95232","100281","20190114",""
"834150","32.8718","100281","20190114",""
"834157","6.73228","100281","20190114",""
"834172","33.81744","100281","20190114",""
"834191","33.63696","100281","20190114",""
"834144","7.76064","100281","20190114",""
"834149","9.04656","100281","20190114",""
"834153","9.04656","100281","20190114",""
"834195","10.14636","100281","20190114",""
"834152","21.103","100281","20190114",""
"834196","30.95232","100281","20190114",""
"834143","36.10728","100281","20190114",""
"834160","21.103","100281","20190114",""
"834162","33.6144","100281","20190114",""
"834190","11.24334","100281","20190114",""
"834146","36.10728","100281","20190114",""
"834164","11.6043","100281","20190114",""
"834165","25.70336","100281","20190114",""
"834171","12.45312","100281","20190114",""
"834174","17.28096","100281","20190114",""
"834176","17.28096","100281","20190114",""
"834183","8.77866","100281","20190114",""
"834187","11.6043","100281","20190114",""
"834198","10.14636","100281","20190114",""
"834142","7.76064","100281","20190114",""
"834147","7.76064","100281","20190114",""
"834154","32.8718","100281","20190114",""
"834156","32.8718","100281","20190114",""
"834168","33.6144","100281","20190114",""
"834170","27.53448","100281","20190114",""
"834181","9.8136","100281","20190114",""
"834189","4.41142","100281","20190114",""
"834145","26.44784","100281","20190114",""
"834163","4.73572","100281","20190114",""
"834180","25.4552","100281","20190114",""
"834184","20.43936","100281","20190114",""
"834186","4.73572","100281","20190114",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
