"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"822179","69.95","20180823",""
"823346","69.95","20180823",""
"822180","69.95","20180823",""
"823347","69.95","20180823",""
"824660","399","20180823",""
"821769","89","20180823",""
"492150","209","20180823",""
"492149","209","20180823",""
"492148","179","20180823",""
"824516","549","20180823",""
"492147","179","20180823",""
"824509","399","20180823",""
"492145","139","20180823",""
"816005","249","20180823",""
"492146","139","20180823",""
"824662","769","20180823",""
"824659","319","20180823",""
"824515","549","20180823",""
"824658","269","20180823",""
"824505","369","20180823",""
"824507","369","20180823",""
"822198","499","20180823",""
"824511","459","20180823",""
"822197","499","20180823",""
"822166","339","20180823",""
"820062","184","20180823",""
"824514","549","20180823",""
"824508","399","20180823",""
"820061","189","20180823",""
"820565","839","20180823",""
"820558","1899","20180823",""
"822164","339","20180823",""
"816006","349","20180823",""
"822165","339","20180823",""
"824661","599","20180823",""
"817073","4199","20180823",""
"824664","399","20180823",""
"824513","459","20180823",""
"824512","459","20180823",""
"824663","269","20180823",""
"822163","299","20180823",""
"816004","279","20180823",""
"826345","3999","20180823",""
"817069","2199","20180823",""
"817072","3899","20180823",""
"824510","399","20180823",""
"817075","4879","20180823",""
"816007","349","20180823",""
"820650","859","20180823",""
"816003","239","20180823",""
"818923","799","20180823",""
"820560","2295","20180823",""
"817071","3799","20180823",""
"826342","2389","20180823",""
"824506","369","20180823",""
"820564","2999","20180823",""
"826352","3199","20180823",""
"817066","1399","20180823",""
"816002","239","20180823",""
"817067","1459","20180823",""
"820563","2979","20180823",""
"818922","799","20180823",""
"822159","249","20180823",""
"820559","2244","20180823",""
"816008","389","20180823",""
"822157","199","20180823",""
"822160","249","20180823",""
"822161","299","20180823",""
"814522","1159","20180823",""
"814518","749","20180823",""
"817068","2239","20180823",""
"822099","234","20180823",""
"816940","1399","20180823",""
"818924","799","20180823",""
"822162","299","20180823",""
"818925","799","20180823",""
"816939","1299","20180823",""
"822156","224","20180823",""
"814521","939","20180823",""
"822158","249","20180823",""
"814523","1204","20180823",""
"822155","199","20180823",""
"814520","959","20180823",""
"814519","769","20180823",""
"820554","1304","20180823",""
"816009","404","20180823",""
"822100","234","20180823",""
"286367","1999","20180823",""
"816941","1699","20180823",""
"816942","1699","20180823",""
"817070","3539","20180823",""
"817074","4785","20180823",""
"817298","989","20180823",""
"820553","999","20180823",""
"820555","1885","20180823",""
"820556","1985","20180823",""
"820557","1999","20180823",""
"826339","1979","20180823",""
"826340","1999","20180823",""
"826341","2339","20180823",""
"826343","3239","20180823",""
"826344","3285","20180823",""
"826346","4069","20180823",""
"826347","1889","20180823",""
"826348","1999","20180823",""
"826349","2069","20180823",""
"826350","2659","20180823",""
"826351","3454","20180823",""
"826353","4159","20180823",""
"826354","4189","20180823",""
"833359","99","20180823",""
"834458","1249","20180823",""
"834459","1249","20180823",""
"834460","1249","20180823",""
"834461","1249","20180823",""
"834462","2179","20180823",""
"834463","2179","20180823",""
"834464","2179","20180823",""
"834465","2179","20180823",""
"834466","1559","20180823",""
"834467","1559","20180823",""
"834468","1559","20180823",""
"834469","1559","20180823",""
"834470","2499","20180823",""
"834471","2499","20180823",""
"834472","2499","20180823",""
"834473","2499","20180823",""
"834474","2029","20180823",""
"834475","2029","20180823",""
"834476","2029","20180823",""
"834477","2029","20180823",""
"834478","3119","20180823",""
"834479","3119","20180823",""
"834480","3119","20180823",""
"834481","3119","20180823",""
"834482","2439","20180823",""
"834483","2439","20180823",""
"834484","2439","20180823",""
"834485","3749","20180823",""
"834486","3749","20180823",""
"834487","3749","20180823",""
"834488","3749","20180823",""
"834489","3749","20180823",""
"834490","599","20180823",""
"834491","599","20180823",""
"834492","599","20180823",""
"834493","789","20180823",""
"834494","789","20180823",""
"834495","789","20180823",""
"834496","1079","20180823",""
"834497","1079","20180823",""
"834498","1079","20180823",""
"250477","9.95","20180823",""
"061062","0.25","20180823",""
"035650","11.95","20180823",""
"035651","17.95","20180823",""
"169126","14.95","20180823",""
"144047","9.95","20180823",""
"826728","5.95","20180823",""
"826729","8.95","20180823",""
"077070","5.95","20180823",""
"826725","5.95","20180823",""
"035649","5.95","20180823",""
"238698","12.95","20180823",""
"811557","14.95","20180823",""
"820475","3.95","20180823",""
"811556","8.95","20180823",""
"384478","4.95","20180823",""
"034121","9.95","20180823",""
"227289","7.95","20180823",""
"250478","9.95","20180823",""
"267960","17.95","20180823",""
"826727","8.95","20180823",""
"034149","18.95","20180823",""
"085547","10.95","20180823",""
"034117","5.95","20180823",""
