"CODE","PV","DATE"
"CODE Article","Prix De Vente nombre","Format AAAAMMDD"
"037473","9.95","20190110"
"037476","11.95","20190110"
"037477","12.95","20190110"
"037478","12.95","20190110"
"037479","19.95","20190110"
"037480","17.95","20190110"
"044236","42.95","20190110"
"044478","7.95","20190110"
"044480","7.95","20190110"
"044482","11.95","20190110"
"044485","16.95","20190110"
"044487","16.95","20190110"
"044491","11.95","20190110"
"044493","16.95","20190110"
"053854","13.95","20190110"
"053874","13.95","20190110"
"053880","14.95","20190110"
"053921","14.95","20190110"
"060661","8.95","20190110"
"060664","13.95","20190110"
"060671","16.95","20190110"
"060673","22.95","20190110"
"060674","24.95","20190110"
"060760","11.95","20190110"
"060775","11.95","20190110"
"060776","13.95","20190110"
"060777","15.95","20190110"
"060778","16.95","20190110"
"060990","7.95","20190110"
"061004","8.95","20190110"
"061007","11.95","20190110"
"061049","11.95","20190110"
"061051","16.95","20190110"
"061187","19.95","20190110"
"072642","8.95","20190110"
"073277","14.95","20190110"
"079129","13.95","20190110"
"079131","17.95","20190110"
"079138","14.95","20190110"
"079292","16.95","20190110"
"079294","16.95","20190110"
"079296","15.95","20190110"
"079654","16.95","20190110"
"079685","24.95","20190110"
"079724","77.95","20190110"
"079745","23.95","20190110"
"079747","23.95","20190110"
"082376","7.95","20190110"
"083465","11.95","20190110"
"083637","15.95","20190110"
"083638","19.95","20190110"
"083697","22.95","20190110"
"085507","16.95","20190110"
"085509","17.95","20190110"
"089936","17.95","20190110"
"089941","25.95","20190110"
"089942","18.95","20190110"
"089943","25.95","20190110"
"089957","7.95","20190110"
"089959","8.95","20190110"
"089960","11.95","20190110"
"089961","11.95","20190110"
"089966","11.95","20190110"
"089967","16.95","20190110"
"127461","9.95","20190110"
"127463","9.95","20190110"
"197823","9.95","20190110"
"197825","9.95","20190110"
"197827","12.95","20190110"
"197829","13.95","20190110"
"197936","19.95","20190110"
"197961","19.95","20190110"
"197964","22.95","20190110"
"197966","22.95","20190110"
"198016","24.95","20190110"
"198019","24.95","20190110"
"198024","42.95","20190110"
"279362","12.95","20190110"
"294896","7.95","20190110"
"294897","8.95","20190110"
"294898","11.95","20190110"
"294899","12.95","20190110"
"301975","9.95","20190110"
"301977","13.95","20190110"
"301979","18.95","20190110"
"302020","13.95","20190110"
"302021","16.95","20190110"
"302023","22.95","20190110"
"302024","24.95","20190110"
"302025","19.95","20190110"
"302026","22.95","20190110"
"302174","6.95","20190110"
"302175","8.95","20190110"
"302176","9.95","20190110"
"336955","26.95","20190110"
"336957","34.95","20190110"
"336958","39.95","20190110"
"342262","23.95","20190110"
"342263","28.95","20190110"
"342264","33.95","20190110"
"342265","39.95","20190110"
"342266","38.95","20190110"
"423806","8.95","20190110"
"423808","13.95","20190110"
"423809","17.95","20190110"
"423811","14.95","20190110"
"423812","14.95","20190110"
"423813","14.95","20190110"
"423816","16.95","20190110"
"423817","16.95","20190110"
"423818","16.95","20190110"
"423868","7.95","20190110"
"423869","7.95","20190110"
"423872","8.95","20190110"
"423873","8.95","20190110"
"423876","11.95","20190110"
"423877","11.95","20190110"
"423880","12.95","20190110"
"423881","11.95","20190110"
"423884","15.95","20190110"
"423885","15.95","20190110"
"423888","19.95","20190110"
"423889","19.95","20190110"
"423896","8.95","20190110"
"423897","8.95","20190110"
"423900","9.95","20190110"
"423901","9.95","20190110"
"423920","29.95","20190110"
"423921","33.95","20190110"
"423922","38.95","20190110"
"423923","44.95","20190110"
"423924","52.95","20190110"
"440295","4.95","20190110"
"440296","5.95","20190110"
"440297","6.95","20190110"
"440298","9.95","20190110"
"440299","6.95","20190110"
"454630","3.95","20190110"
"454661","3.95","20190110"
"461838","7.95","20190110"
"461839","7.95","20190110"
"461840","7.95","20190110"
"461841","7.95","20190110"
"461842","7.95","20190110"
"461843","7.95","20190110"
"461844","8.95","20190110"
"461845","8.95","20190110"
