"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"836565","2.134","10520","20181101",""
"836566","2.134","10520","20181101",""
"836567","2.134","10520","20181101",""
"836568","2.134","10520","20181101",""
"836569","2.134","10520","20181101",""
"836570","2.134","10520","20181101",""
"836571","2.134","10520","20181101",""
"836572","3.589","10520","20181101",""
"836573","3.589","10520","20181101",""
"836574","4.9955","10520","20181101",""
"836575","4.9955","10520","20181101",""
"836576","4.9955","10520","20181101",""
"836577","4.9955","10520","20181101",""
"836578","4.9955","10520","20181101",""
"836579","4.9955","10520","20181101",""
"836580","4.9955","10520","20181101",""
"836581","4.9955","10520","20181101",""
"836582","4.9955","10520","20181101",""
"836583","4.9955","10520","20181101",""
"836584","4.9955","10520","20181101",""
"836585","6.6445","10520","20181101",""
"836586","6.6445","10520","20181101",""
"836587","6.6445","10520","20181101",""
"836588","9.021","10520","20181101",""
"836589","9.021","10520","20181101",""
"836590","9.021","10520","20181101",""
"836591","9.021","10520","20181101",""
"836592","9.021","10520","20181101",""
"836593","9.021","10520","20181101",""
"836594","9.021","10520","20181101",""
"836595","9.021","10520","20181101",""
"836596","9.021","10520","20181101",""
"836597","9.021","10520","20181101",""
"836598","9.021","10520","20181101",""
"836599","2.134","10520","20181101",""
"836600","3.589","10520","20181101",""
"836601","6.6445","10520","20181101",""
"836602","6.6445","10520","20181101",""
"836603","6.6445","10520","20181101",""
"836604","6.6445","10520","20181101",""
"836605","3.589","10520","20181101",""
"836606","6.6445","10520","20181101",""
"836607","3.589","10520","20181101",""
"836608","6.6445","10520","20181101",""
"836609","3.589","10520","20181101",""
"836610","2.134","10520","20181101",""
"836611","2.134","10520","20181101",""
"836612","6.111","10520","20181101",""
"836613","2.813","10520","20181101",""
"836614","2.813","10520","20181101",""
"836615","6.499","10520","20181101",""
"836616","6.499","10520","20181101",""
"836617","6.499","10520","20181101",""
"836618","6.499","10520","20181101",""
"836619","6.499","10520","20181101",""
"836620","6.499","10520","20181101",""
"836621","6.499","10520","20181101",""
"836622","6.499","10520","20181101",""
"836623","6.499","10520","20181101",""
"836624","6.499","10520","20181101",""
"836625","6.499","10520","20181101",""
"836626","6.499","10520","20181101",""
"836627","6.499","10520","20181101",""
"836628","6.499","10520","20181101",""
"836629","6.499","10520","20181101",""
"836630","6.499","10520","20181101",""
"836631","6.499","10520","20181101",""
"836632","6.499","10520","20181101",""
"836633","7.5175","10520","20181101",""
"836634","7.5175","10520","20181101",""
"836635","7.5175","10520","20181101",""
"836636","7.5175","10520","20181101",""
"836637","7.5175","10520","20181101",""
"836638","7.5175","10520","20181101",""
"836639","7.5175","10520","20181101",""
"836640","7.5175","10520","20181101",""
"836641","7.5175","10520","20181101",""
"836642","7.5175","10520","20181101",""
"836643","7.5175","10520","20181101",""
"836644","7.5175","10520","20181101",""
"836645","7.5175","10520","20181101",""
"836646","7.5175","10520","20181101",""
"836647","7.5175","10520","20181101",""
"836648","7.5175","10520","20181101",""
"836649","7.5175","10520","20181101",""
"836650","7.5175","10520","20181101",""
"836651","6.6445","10520","20181101",""
"836652","8.148","10520","20181101",""
"836653","56.5995","10520","20181101",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
