"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"127727","84.95","20180620",""
"171722","15.95","20180620",""
"171785","144.95","20180620",""
"171740","23.95","20180620",""
"390587","41.5","20180620",""
"806762","79.95","20180620",""
"804979","169.95","20180620",""
"802930","39.95","20180620",""
"171784","119","20180620",""
"390586","35.95","20180620",""
"804978","139.95","20180620",""
"187040","15.95","20180620",""
"824861","59.95","20180620",""
"802929","27.5","20180620",""
"805094","54.95","20180620",""
"812414","15.95","20180620",""
"223978","219.95","20180620",""
"363964","81.95","20180620",""
"332427","73.25","20180620",""
"384625","39.95","20180620",""
"806760","129","20180620",""
"812415","15.95","20180620",""
"810543","49.95","20180620",""
"390585","30.95","20180620",""
"810544","69.95","20180620",""
"802310","119.95","20180620",""
"802931","39.95","20180620",""
"821210","15.95","20180620",""
"824666","159.95","20180620",""
"458635","24.95","20180620",""
"462602","25.95","20180620",""
"821208","15.95","20180620",""
"821209","15.95","20180620",""
"810541","32.5","20180620",""
"483244","90.5","20180620",""
"462563","73.25","20180620",""
"817557","49.95","20180620",""
"463012","19.95","20180620",""
"462525","45.95","20180620",""
"458636","24.95","20180620",""
"802309","99.95","20180620",""
"422316","40.5","20180620",""
"422315","40.5","20180620",""
"384644","24.95","20180620",""
"821741","54.95","20180620",""
"816569","40.5","20180620",""
"821739","54.95","20180620",""
"824665","79.95","20180620",""
"817558","44.95","20180620",""
"810542","39.95","20180620",""
"813740","38.95","20180620",""
"821737","54.95","20180620",""
"821742","51.95","20180620",""
"824857","69.95","20180620",""
"384623","19.95","20180620",""
"384622","19.95","20180620",""
"821740","51.95","20180620",""
"824859","39.95","20180620",""
"817559","49.95","20180620",""
"813675","139","20180620",""
"821738","51.95","20180620",""
"813628","52.95","20180620",""
"817560","44.95","20180620",""
"827353","59.95","20180620",""
"824860","39.95","20180620",""
"813739","43.95","20180620",""
"810545","79.95","20180620",""
"813626","52.95","20180620",""
"816567","54.95","20180620",""
"828712","15.95","20180620",""
"462606","29.95","20180620",""
"422313","34.5","20180620",""
"824858","69.95","20180620",""
"826968","55.9","20180620",""
"806518","48.95","20180620",""
"817555","49.95","20180620",""
"826965","55.9","20180620",""
"817556","44.95","20180620",""
"806520","19.99","20180620",""
"813627","38.95","20180620",""
"826967","44.9","20180620",""
"826969","44.9","20180620",""
"824009","44.9","20180620",""
"826966","44.9","20180620",""
"816566","54.95","20180620",""
"816565","54.95","20180620",""
"806517","39.95","20180620",""
"824006","44.9","20180620",""
"821665","31.5","20180620",""
"826995","35.95","20180620",""
"821744","49.95","20180620",""
"824007","44.9","20180620",""
"827018","39.9","20180620",""
"821667","31.5","20180620",""
"826970","67.9","20180620",""
"824010","59.9","20180620",""
"813745","79.95","20180620",""
"816568","54.95","20180620",""
"824013","59.9","20180620",""
"823985","55","20180620",""
"824012","59.9","20180620",""
"827025","39.9","20180620",""
"824003","44.9","20180620",""
"221954","179.95","20180620",""
"824002","44.9","20180620",""
"819951","28.5","20180620",""
"824001","44.9","20180620",""
"824008","44.9","20180620",""
"815885","74.95","20180620",""
"821743","49.95","20180620",""
"815300","99.95","20180620",""
"819521","29.99","20180620",""
"824005","44.9","20180620",""
"819950","28.5","20180620",""
"823999","44.9","20180620",""
"823998","44.9","20180620",""
"808268","65","20180620",""
"415507","52.95","20180620",""
"823988","55","20180620",""
"819955","41.5","20180620",""
"813744","94.95","20180620",""
"474111","179.95","20180620",""
"819953","35.95","20180620",""
"819952","35.95","20180620",""
"812155","28.5","20180620",""
"824000","44.9","20180620",""
"824011","59.9","20180620",""
"812157","39.95","20180620",""
"818387","48.95","20180620",""
"815297","119","20180620",""
"813345","64.95","20180620",""
"422314","40.5","20180620",""
"813743","94.95","20180620",""
"813682","41.95","20180620",""
"824004","44.9","20180620",""
"813343","79.95","20180620",""
"393223","49","20180620",""
"812153","33.5","20180620",""
"813683","43.95","20180620",""
"813645","31.5","20180620",""
"812154","39.95","20180620",""
"812159","42.95","20180620",""
"815301","47.95","20180620",""
"814059","15.95","20180620",""
"812152","28.5","20180620",""
"459586","139.95","20180620",""
"815296","119","20180620",""
"812156","34.95","20180620",""
"813344","64.95","20180620",""
"815305","47.95","20180620",""
"813741","94.95","20180620",""
"814058","15.95","20180620",""
"813154","29","20180620",""
"808107","49.95","20180620",""
"432945","49.95","20180620",""
"818386","48.95","20180620",""
"443240","41.95","20180620",""
"815295","67.95","20180620",""
"815298","67.95","20180620",""
"819954","41.5","20180620",""
"483666","50.15","20180620",""
"127731","259.95","20180620",""
"221955","39","20180620",""
"283186","21.15","20180620",""
"815022","43.95","20180620",""
"422307","48.5","20180620",""
"815303","47.95","20180620",""
"813677","47.95","20180620",""
"808108","44.95","20180620",""
"393222","41.95","20180620",""
"474843","29.95","20180620",""
"812158","42.95","20180620",""
"813155","25","20180620",""
"345413","50.15","20180620",""
"815021","39.95","20180620",""
"328713","35","20180620",""
"830205","45.9","20180620",""
"830206","45.9","20180620",""
"830211","19.99","20180620",""
"830212","19.99","20180620",""
"830213","25.95","20180620",""
"832041","49.95","20180620",""
"832043","44.95","20180620",""
"832319","45.9","20180620",""
"321954","49.95","20180620",""
"340094","39.95","20180620",""
"223150","16.95","20180620",""
"125375","38.95","20180620",""
"340093","37.95","20180620",""
"322660","25.95","20180620",""
"125376","49.95","20180620",""
"823676","24.95","20180620",""
"823678","24.95","20180620",""
"823677","24.95","20180620",""
"824960","34.95","20180620",""
"826029","34.95","20180620",""
"826403","37.95","20180620",""
"826030","38.95","20180620",""
"826031","38.95","20180620",""
"824959","31.95","20180620",""
"823986","54.95","20180620",""
"823987","54.95","20180620",""
"827828","29.95","20180620",""
"827829","29.95","20180620",""
"827830","29.95","20180620",""
"827833","29.95","20180620",""
"827834","29.95","20180620",""
"827843","34.95","20180620",""
"827844","39.95","20180620",""
"827846","39.95","20180620",""
"827849","39.95","20180620",""
"830201","29.95","20180620",""
"830202","29.95","20180620",""
"830203","34.95","20180620",""
"830204","34.95","20180620",""
"830632","49.95","20180620",""
"830633","59.95","20180620",""
