"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"003278","22.21","4037","20190415",""
"005254","16.08","4037","20190415",""
"005256","27.33","4037","20190415",""
"005258","14.42","4037","20190415",""
"005259","23.02","4037","20190415",""
"005263","16.01","4037","20190415",""
"005264","25.95","4037","20190415",""
"005273","16.92","4037","20190415",""
"005281","9.33","4037","20190415",""
"005287","45.46","4037","20190415",""
"005340","42.7","4037","20190415",""
"005344","44.2","4037","20190415",""
"005345","15.32","4037","20190415",""
"005351","45.46","4037","20190415",""
"005445","14.81","4037","20190415",""
"005451","42.7","4037","20190415",""
"005458","44.2","4037","20190415",""
"016715","16.01","4037","20190415",""
"016718","28.52","4037","20190415",""
"019769","48.04","4037","20190415",""
"027597","40.14","4037","20190415",""
"075669","44.95","4037","20190415",""
"075670","49.33","4037","20190415",""
"075707","17.65","4037","20190415",""
"075713","54.73","4037","20190415",""
"110747","43.19","4037","20190415",""
"110749","43.19","4037","20190415",""
"119170","16.01","4037","20190415",""
"119251","27.33","4037","20190415",""
"122801","15.32","4037","20190415",""
"122804","14.81","4037","20190415",""
"122805","15.16","4037","20190415",""
"125593","49.33","4037","20190415",""
"125596","54.73","4037","20190415",""
"134437","10.76","4037","20190415",""
"141846","12.46","4037","20190415",""
"141848","17.65","4037","20190415",""
"144131","16.08","4037","20190415",""
"154397","13.94","4037","20190415",""
"154398","42.83","4037","20190415",""
"161978","16.01","4037","20190415",""
"164374","30.93","4037","20190415",""
"164388","9.03","4037","20190415",""
"164390","13.62","4037","20190415",""
"165718","35.53","4037","20190415",""
"165719","35.06","4037","20190415",""
"165722","25.95","4037","20190415",""
"165723","25.95","4037","20190415",""
"165724","52.45","4037","20190415",""
"174717","9.03","4037","20190415",""
"174721","42.83","4037","20190415",""
"174722","13.94","4037","20190415",""
"174723","42.83","4037","20190415",""
"190786","18.29","4037","20190415",""
"190802","16.92","4037","20190415",""
"190806","28.05","4037","20190415",""
"190866","28.52","4037","20190415",""
"190926","25.95","4037","20190415",""
"211819","14.66","4037","20190415",""
"211821","45.33","4037","20190415",""
"216418","14.66","4037","20190415",""
"216419","45.33","4037","20190415",""
"225017","17.01","4037","20190415",""
"252301","16.01","4037","20190415",""
"252303","25.95","4037","20190415",""
"252305","49.33","4037","20190415",""
"264107","16.01","4037","20190415",""
"264108","25.95","4037","20190415",""
"265271","9.03","4037","20190415",""
"265276","42.83","4037","20190415",""
"265278","45.33","4037","20190415",""
"265279","13.94","4037","20190415",""
"265281","42.83","4037","20190415",""
"265284","13.94","4037","20190415",""
"265297","9.97","4037","20190415",""
"265301","9.03","4037","20190415",""
"268849","42.82","4037","20190415",""
"271653","9.03","4037","20190415",""
"271655","9.03","4037","20190415",""
"297390","14.66","4037","20190415",""
"297391","45.33","4037","20190415",""
"297395","9.03","4037","20190415",""
"297397","35.06","4037","20190415",""
"297398","14.72","4037","20190415",""
"297402","16.92","4037","20190415",""
"297403","28.05","4037","20190415",""
"308578","9.97","4037","20190415",""
"308579","14.66","4037","20190415",""
"308580","45.33","4037","20190415",""
"313055","8.81","4037","20190415",""
"313057","8.39","4037","20190415",""
"313058","10.07","4037","20190415",""
"316076","17.65","4037","20190415",""
"328298","19.49","4037","20190415",""
"339471","3.49","4037","20190415",""
"339472","16.01","4037","20190415",""
"350141","30.23","4037","20190415",""
"363780","22.21","4037","20190415",""
"366850","49.33","4037","20190415",""
"366851","44.2","4037","20190415",""
"366852","44.2","4037","20190415",""
"366853","54.73","4037","20190415",""
"366854","32.26","4037","20190415",""
"366856","34.1","4037","20190415",""
"366858","32.26","4037","20190415",""
"370000","19.9","4037","20190415",""
"370001","12.99","4037","20190415",""
"370017","37.89","4037","20190415",""
"370019","41.32","4037","20190415",""
"374565","42.7","4037","20190415",""
"374566","42.7","4037","20190415",""
"378381","14.72","4037","20190415",""
"378384","41.55","4037","20190415",""
"379117","1.17","4037","20190415",""
"379122","15.35","4037","20190415",""
"379134","35.24","4037","20190415",""
"381236","35.24","4037","20190415",""
"384765","0.94","4037","20190415",""
"386389","44.95","4037","20190415",""
"386399","49.33","4037","20190415",""
"412758","9.03","4037","20190415",""
"412761","23.18","4037","20190415",""
"412763","16.01","4037","20190415",""
"412767","12.03","4037","20190415",""
"412768","23.18","4037","20190415",""
"412771","16.18","4037","20190415",""
"412772","27.33","4037","20190415",""
"417770","12.99","4037","20190415",""
"417771","41.32","4037","20190415",""
"417773","41.32","4037","20190415",""
"417983","44.66","4037","20190415",""
"417985","25.53","4037","20190415",""
"421446","35.06","4037","20190415",""
"428640","8.81","4037","20190415",""
"430281","5.39","4037","20190415",""
"430282","10.22","4037","20190415",""
"430283","18.38","4037","20190415",""
"430296","33.84","4037","20190415",""
"430308","11.77","4037","20190415",""
"430313","10.85","4037","20190415",""
"430314","19.49","4037","20190415",""
"430319","8.61","4037","20190415",""
"430320","17.78","4037","20190415",""
"430376","14.72","4037","20190415",""
"435223","16.01","4037","20190415",""
"439750","40.14","4037","20190415",""
"440745","45.46","4037","20190415",""
"442721","8.81","4037","20190415",""
"447950","45.46","4037","20190415",""
"447952","45.46","4037","20190415",""
"449094","11.22","4037","20190415",""
"449096","19.88","4037","20190415",""
"449254","16.08","4037","20190415",""
"449256","50.31","4037","20190415",""
"449260","16.01","4037","20190415",""
"449261","25.95","4037","20190415",""
"449263","12.11","4037","20190415",""
"449264","23.18","4037","20190415",""
"449293","16.18","4037","20190415",""
"449302","27.33","4037","20190415",""
"449979","8.39","4037","20190415",""
"456963","11.49","4037","20190415",""
"456964","11.49","4037","20190415",""
"457147","35.53","4037","20190415",""
"462537","14.72","4037","20190415",""
"462538","15.88","4037","20190415",""
"462541","15.17","4037","20190415",""
"462542","42.83","4037","20190415",""
"462920","45.46","4037","20190415",""
"467249","32.79","4037","20190415",""
"467402","54.73","4037","20190415",""
"467471","43.19","4037","20190415",""
"483258","9.97","4037","20190415",""
"483260","9.97","4037","20190415",""
"483261","9.97","4037","20190415",""
"483262","9.03","4037","20190415",""
"483263","9.03","4037","20190415",""
"483264","14.72","4037","20190415",""
"483267","9.97","4037","20190415",""
"483268","16.32","4037","20190415",""
"484388","1.68","4037","20190415",""
"503077","17.65","4037","20190415",""
"503079","17.65","4037","20190415",""
"503086","16.01","4037","20190415",""
"503087","25.95","4037","20190415",""
"503089","8.81","4037","20190415",""
"503091","10.07","4037","20190415",""
"503093","8.39","4037","20190415",""
"505944","17.75","4037","20190415",""
"505945","32.27","4037","20190415",""
"505949","9.72","4037","20190415",""
"509416","18.29","4037","20190415",""
"509472","30.93","4037","20190415",""
"802257","13.94","4037","20190415",""
"807775","11.47","4037","20190415",""
"807776","11.47","4037","20190415",""
"810108","49.33","4037","20190415",""
"811032","16.7","4037","20190415",""
"811033","28.05","4037","20190415",""
"811035","10.07","4037","20190415",""
"812631","38.23","4037","20190415",""
"815671","41.32","4037","20190415",""
"816295","10.76","4037","20190415",""
"816296","19.49","4037","20190415",""
"816297","12.98","4037","20190415",""
"816298","48.24","4037","20190415",""
"816299","12.99","4037","20190415",""
"816301","48.04","4037","20190415",""
"816302","12.98","4037","20190415",""
"819801","49.33","4037","20190415",""
"822432","17.65","4037","20190415",""
"824215","8.81","4037","20190415",""
"824216","8.39","4037","20190415",""
"824217","8.39","4037","20190415",""
"824218","9.23","4037","20190415",""
"824219","9.23","4037","20190415",""
"824220","9.23","4037","20190415",""
"825752","2.2","4037","20190415",""
"825753","2.1","4037","20190415",""
"830515","12.67","4037","20190415",""
"830615","12.67","4037","20190415",""
"830616","23.79","4037","20190415",""
"834436","8.81","4037","20190415",""
"834437","8.81","4037","20190415",""
"835786","39.26","4037","20190415",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
