"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"328059","18.35","PF0","20180618",""
"818669","18.35","PF0","20180618",""
"818672","18.35","PF0","20180618",""
"818674","18.35","PF0","20180618",""
"820620","1.34","PF0","20180618",""
"820621","1.34","PF0","20180618",""
"820622","1.34","PF0","20180618",""
"820622","1.89","PF0","20180618",""
"820623","1.34","PF0","20180618",""
"820624","1.34","PF0","20180618",""
"820625","1.34","PF0","20180618",""
"820626","1.89","PF0","20180618",""
"820627","1.89","PF0","20180618",""
"820629","1.89","PF0","20180618",""
"820630","1.89","PF0","20180618",""
"820631","1.89","PF0","20180618",""
"820632","2.7","PF0","20180618",""
"820633","2.7","PF0","20180618",""
"820634","2.7","PF0","20180618",""
"820635","2.7","PF0","20180618",""
"820636","2.7","PF0","20180618",""
"820637","2.7","PF0","20180618",""
"820638","1.34","PF0","20180618",""
"820639","1.34","PF0","20180618",""
"820640","1.34","PF0","20180618",""
"820641","1.89","PF0","20180618",""
"820642","1.89","PF0","20180618",""
"820643","1.89","PF0","20180618",""
"825882","4.23","PF0","20180618",""
"833110","2.16","PF0","20180618",""
"833111","1.62","PF0","20180618",""
"833112","1.62","PF0","20180618",""
"833113","2.16","PF0","20180618",""
"833114","2.16","PF0","20180618",""
"833115","3.24","PF0","20180618",""
"833116","3.24","PF0","20180618",""
"833117","2.16","PF0","20180618",""
"833118","2.16","PF0","20180618",""
"833119","2.16","PF0","20180618",""
"833120","0.78","PF0","20180618",""
"833121","0.78","PF0","20180618",""
"833122","0.78","PF0","20180618",""
"833123","0.78","PF0","20180618",""
"833124","0.78","PF0","20180618",""
"833125","0.78","PF0","20180618",""
"833126","0.78","PF0","20180618",""
"833127","0.78","PF0","20180618",""
"833133","1.54","PF0","20180618",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
