"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"506111","11.93","PF1","20200120",""
"817496","4.95","PF1","20200120",""
"815397","2.96","PF1","20200120",""
"815398","8.11","PF1","20200120",""
"817495","1.64","PF1","20200120",""
"815396","1.31","PF1","20200120",""
"816321","3.94","PF1","20200120",""
"816320","2.06","PF1","20200120",""
"816322","4.33","PF1","20200120",""
"810462","5.21","PF1","20200120",""
"833777","32.26","PF1","20200120",""
"833775","52.65","PF1","20200120",""
"833780","52.7","PF1","20200120",""
"833778","55.57","PF1","20200120",""
"833779","59.1","PF1","20200120",""
"833776","35.266","PF1","20200120",""
"835158","4.576","PF1","20200120",""
"835161","7.744","PF1","20200120",""
"835160","4.125","PF1","20200120",""
"835164","3.058","PF1","20200120",""
"835166","3.234","PF1","20200120",""
"835165","3.058","PF1","20200120",""
"835163","8.14","PF1","20200120",""
"835159","7.964","PF1","20200120",""
"835169","2.156","PF1","20200120",""
"835167","2.156","PF1","20200120",""
"835168","2.156","PF1","20200120",""
"835162","4.466","PF1","20200120",""
"833458","4.5","PF1","20200120",""
"833456","4.5","PF1","20200120",""
"833455","4.5","PF1","20200120",""
"833457","4.5","PF1","20200120",""
"806529","4.5","PF1","20200120",""
"816990","3.43","PF1","20200120",""
"822523","5.83","PF1","20200120",""
"816989","5.34","PF1","20200120",""
"443271","2.14","PF1","20200120",""
"816991","4.79","PF1","20200120",""
"816983","4.82","PF1","20200120",""
"816987","6.26","PF1","20200120",""
"223480","2.14","PF1","20200120",""
"816985","4.82","PF1","20200120",""
"816986","4.82","PF1","20200120",""
"816984","4.82","PF1","20200120",""
"816982","4.83","PF1","20200120",""
"823511","17.8","PF1","20200120",""
"823512","0.484","PF1","20200120",""
"823514","2.035","PF1","20200120",""
"823513","1.078","PF1","20200120",""
"816168","18","PF1","20200120",""
"816176","18.96","PF1","20200120",""
"816169","14.54","PF1","20200120",""
"816175","23.89","PF1","20200120",""
"816178","8.94","PF1","20200120",""
"816170","12.76","PF1","20200120",""
"816177","13.97","PF1","20200120",""
"384627","3.61","PF1","20200120",""
"260181","12.24","PF1","20200120",""
"827336","16.84","PF1","20200120",""
"497410","6.5","PF1","20200120",""
"384616","6","PF1","20200120",""
"458635","11.8","PF1","20200120",""
"384623","8.97","PF1","20200120",""
"384625","16.96","PF1","20200120",""
"497411","6.5","PF1","20200120",""
"384644","11.8","PF1","20200120",""
"384622","8.97","PF1","20200120",""
"463012","8.97","PF1","20200120",""
"826682","4.5","PF1","20200120",""
"498124","3.04","PF1","20200120",""
"498128","3.78","PF1","20200120",""
"498112","0.35","PF1","20200120",""
"498113","0.67","PF1","20200120",""
"498111","0.26","PF1","20200120",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
