"CODE","PA","FOU","DATE"
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD"
"003819","4.62","100060","20190101"
"005297","29.94","100060","20190101"
"005985","24.4","100060","20190101"
"005988","3.18","100060","20190101"
"005989","6.42","100060","20190101"
"005990","3.17","100060","20190101"
"005991","6.42","100060","20190101"
"005999","1.24","100060","20190101"
"006000","1.24","100060","20190101"
"006292","6.23","100060","20190101"
"006306","4.79","100060","20190101"
"006308","3.74","100060","20190101"
"006309","3.74","100060","20190101"
"009457","1.99","100060","20190101"
"009458","4.02","100060","20190101"
"009460","7.55","100060","20190101"
"009464","3.46","100060","20190101"
"009465","2.74","100060","20190101"
"009473","4.56","100060","20190101"
"009474","1.89","100060","20190101"
"009476","2.54","100060","20190101"
"009477","5.15","100060","20190101"
"009936","4.2","100060","20190101"
"010013","7.96","100060","20190101"
"010016","1.9","100060","20190101"
"010026","1.9","100060","20190101"
"010210","7.89","100060","20190101"
"012925","5.27","100060","20190101"
"012926","4.28","100060","20190101"
"016141","49.41","100060","20190101"
"016170","4.28","100060","20190101"
"016173","4.78","100060","20190101"
"019518","4.45","100060","20190101"
"019519","1.81","100060","20190101"
"022017","1.98","100060","20190101"
"022200","26.93","100060","20190101"
"022215","7.52","100060","20190101"
"023537","3.3","100060","20190101"
"023541","2.62","100060","20190101"
"023542","5.19","100060","20190101"
"023545","3.16","100060","20190101"
"023547","3.19","100060","20190101"
"027648","13.61","100060","20190101"
"031892","12.85","100060","20190101"
"031893","14.41","100060","20190101"
"034206","2.66","100060","20190101"
"035950","35","100060","20190101"
"049017","5.02","100060","20190101"
"049018","8.39","100060","20190101"
"053298","2.48","100060","20190101"
"053303","1.99","100060","20190101"
"053304","5.62","100060","20190101"
"062866","3.38","100060","20190101"
"075080","5.67","100060","20190101"
"085009","2.76","100060","20190101"
"085054","8.33","100060","20190101"
"085056","8.33","100060","20190101"
"085062","8.91","100060","20190101"
"085352","2.47","100060","20190101"
"085353","4.94","100060","20190101"
"085372","3.46","100060","20190101"
"117229","4.6","100060","20190101"
"117235","3.85","100060","20190101"
"117247","9.08","100060","20190101"
"117256","10.43","100060","20190101"
"117258","10.9","100060","20190101"
"122119","3.71","100060","20190101"
"122120","1.94","100060","20190101"
"124400","4.91","100060","20190101"
"124401","4.53","100060","20190101"
"126019","11.41","100060","20190101"
"126809","5.93","100060","20190101"
"126812","3.05","100060","20190101"
"126813","4.69","100060","20190101"
"126814","3.87","100060","20190101"
"126823","10.29","100060","20190101"
"126824","17.13","100060","20190101"
"126825","1.65","100060","20190101"
"126828","3.38","100060","20190101"
"126831","5.76","100060","20190101"
"126833","10.38","100060","20190101"
"126834","10.38","100060","20190101"
"126835","11.33","100060","20190101"
"126836","11.33","100060","20190101"
"126839","4.57","100060","20190101"
"126841","3.95","100060","20190101"
"126857","9.31","100060","20190101"
"126859","14.49","100060","20190101"
"126861","18.69","100060","20190101"
