"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"232668","2.83","11300","20200101",""
"232681","1.61","11300","20200101",""
"238841","35.13","11300","20200101",""
"331581","5.86","11300","20200101",""
"373376","18.3","11300","20200101",""
"373377","18.3","11300","20200101",""
"373378","18.3","11300","20200101",""
"373379","18.3","11300","20200101",""
"373380","18.3","11300","20200101",""
"373381","18.3","11300","20200101",""
"373382","18.3","11300","20200101",""
"373383","18.3","11300","20200101",""
"373384","19.3","11300","20200101",""
"373385","19.3","11300","20200101",""
"373386","19.3","11300","20200101",""
"373387","19.3","11300","20200101",""
"373388","19.3","11300","20200101",""
"373389","19.3","11300","20200101",""
"373390","19.3","11300","20200101",""
"373391","19.3","11300","20200101",""
"373392","18.3","11300","20200101",""
"373393","18.3","11300","20200101",""
"373394","18.3","11300","20200101",""
"373395","18.3","11300","20200101",""
"373396","18.3","11300","20200101",""
"373397","18.3","11300","20200101",""
"373398","18.3","11300","20200101",""
"373399","18.3","11300","20200101",""
"373400","19.3","11300","20200101",""
"373401","19.3","11300","20200101",""
"373402","19.3","11300","20200101",""
"373403","19.3","11300","20200101",""
"373404","19.3","11300","20200101",""
"373405","19.3","11300","20200101",""
"373406","19.3","11300","20200101",""
"373407","19.3","11300","20200101",""
"373408","9.5","11300","20200101",""
"373409","9.5","11300","20200101",""
"373410","9.95","11300","20200101",""
"373411","9.95","11300","20200101",""
"373412","9.95","11300","20200101",""
"373413","10.5","11300","20200101",""
"373414","10.5","11300","20200101",""
"373415","10.5","11300","20200101",""
"373416","9.5","11300","20200101",""
"373417","9.5","11300","20200101",""
"373418","9.95","11300","20200101",""
"373419","9.95","11300","20200101",""
"373420","9.95","11300","20200101",""
"373421","10.5","11300","20200101",""
"373422","10.5","11300","20200101",""
"373423","10.5","11300","20200101",""
"379115","2.6","11300","20200101",""
"379116","3.9","11300","20200101",""
"826877","1.4","11300","20200101",""
"826878","1.4","11300","20200101",""
"415470","57.3","11300","20200101",""
"415471","79.87","11300","20200101",""
"415472","7.8","11300","20200101",""
"415473","8.13","11300","20200101",""
"415511","4.89","11300","20200101",""
"422201","5.3","11300","20200101",""
"422203","5.3","11300","20200101",""
"422204","3.45","11300","20200101",""
"422212","2.13","11300","20200101",""
"422256","3.78","11300","20200101",""
"422257","3.78","11300","20200101",""
"422258","3.78","11300","20200101",""
"422259","4.98","11300","20200101",""
"422260","4.98","11300","20200101",""
