"CODE","PV","DATE",""
"CODE Article","Prix De Vente nombre","Format AAAAMMDD",""
"833185","24.95","20180920",""
"833186","24.95","20180920",""
"833187","24.95","20180920",""
"833188","24.95","20180920",""
"833189","24.95","20180920",""
"833190","24.95","20180920",""
"833191","24.95","20180920",""
"833198","59.95","20180920",""
"833199","59.95","20180920",""
"833200","59.95","20180920",""
"833201","59.95","20180920",""
"833202","61.95","20180920",""
"833203","61.95","20180920",""
"833204","61.95","20180920",""
"833205","49.95","20180920",""
"833206","49.95","20180920",""
"833207","49.95","20180920",""
"833208","49.95","20180920",""
"833209","52.95","20180920",""
"833210","52.95","20180920",""
"833211","52.95","20180920",""
"833212","49.95","20180920",""
"833213","49.95","20180920",""
"833214","49.95","20180920",""
"833215","49.95","20180920",""
"833216","52.95","20180920",""
"833217","52.95","20180920",""
"833218","52.95","20180920",""
"833192","49.95","20180920",""
"833193","49.95","20180920",""
"833194","49.95","20180920",""
"833195","49.95","20180920",""
"833196","52.95","20180920",""
"833197","52.95","20180920",""
"833184","52.95","20180920",""
"833219","37.95","20180920",""
"833220","37.95","20180920",""
"833221","37.95","20180920",""
"833222","37.95","20180920",""
"833223","39.95","20180920",""
"833224","39.95","20180920",""
"833225","39.95","20180920",""
"832741","61.9","20180920",""
"832743","61.9","20180920",""
"832745","61.9","20180920",""
"832747","68.9","20180920",""
"832749","68.9","20180920",""
"832788","323.5","20180920",""
"832742","61.9","20180920",""
"832744","61.9","20180920",""
"832746","61.9","20180920",""
"832748","68.9","20180920",""
"832750","68.9","20180920",""
"832789","323.5","20180920",""
"832680","31.9","20180920",""
"832686","31.9","20180920",""
"832692","31.9","20180920",""
"832697","31.9","20180920",""
"832703","31.9","20180920",""
"832708","31.9","20180920",""
"832714","31.9","20180920",""
"832719","31.9","20180920",""
"832725","32.9","20180920",""
"832730","32.9","20180920",""
"832736","32.9","20180920",""
"832785","353.9","20180920",""
"832681","31.9","20180920",""
"832687","31.9","20180920",""
"832693","31.9","20180920",""
"832698","31.9","20180920",""
"832704","31.9","20180920",""
"832709","31.9","20180920",""
"832715","31.9","20180920",""
"832720","31.9","20180920",""
"832726","32.9","20180920",""
"832731","32.9","20180920",""
"832737","32.9","20180920",""
"832783","353.9","20180920",""
"832682","31.9","20180920",""
"832688","31.9","20180920",""
"832694","31.9","20180920",""
"832699","31.9","20180920",""
"832705","31.9","20180920",""
"832710","31.9","20180920",""
"832716","31.9","20180920",""
"832721","31.9","20180920",""
"832727","32.9","20180920",""
"832732","32.9","20180920",""
"832738","32.9","20180920",""
"832784","353.9","20180920",""
"832683","40.5","20180920",""
"832689","40.5","20180920",""
"832695","40.5","20180920",""
"832700","44.9","20180920",""
"832706","44.9","20180920",""
"832711","44.9","20180920",""
"832717","44.9","20180920",""
"832722","44.9","20180920",""
"832728","50.9","20180920",""
"832733","50.9","20180920",""
"832739","50.9","20180920",""
"832786","498.7","20180920",""
"832684","40.5","20180920",""
"832690","40.5","20180920",""
"832696","40.5","20180920",""
"832701","44.9","20180920",""
"832707","44.9","20180920",""
"832712","44.9","20180920",""
"832718","44.9","20180920",""
"832723","44.9","20180920",""
"832729","50.9","20180920",""
"832734","50.9","20180920",""
"832740","50.9","20180920",""
"832787","498.7","20180920",""
"832679","19.9","20180920",""
"832685","19.9","20180920",""
"832691","19.9","20180920",""
"832702","21.9","20180920",""
"832713","21.9","20180920",""
"832724","21.9","20180920",""
"832735","21.9","20180920",""
"832790","147.3","20180920",""
"832580","49.9","20180920",""
"832581","49.9","20180920",""
"818455","29.9","20180920",""
"818456","29.9","20180920",""
"818457","29.9","20180920",""
"818458","29.9","20180920",""
"818459","32.9","20180920",""
"832582","32.9","20180920",""
"818460","29.9","20180920",""
"818461","29.9","20180920",""
"818462","29.9","20180920",""
"818463","29.9","20180920",""
"818464","32.9","20180920",""
"832583","32.9","20180920",""
"832584","51.9","20180920",""
"832585","51.9","20180920",""
"832586","54.9","20180920",""
"832587","54.9","20180920",""
"832588","54.9","20180920",""
"832589","54.9","20180920",""
"832590","55.9","20180920",""
"832591","55.9","20180920",""
"832592","55.9","20180920",""
"832593","54.9","20180920",""
"832594","55.9","20180920",""
"832595","55.9","20180920",""
"832596","55.9","20180920",""
"832597","55.9","20180920",""
"832598","55.9","20180920",""
"832599","57.9","20180920",""
"832600","57.9","20180920",""
"832601","57.9","20180920",""
"832602","57.9","20180920",""
"832603","49.9","20180920",""
"832604","49.9","20180920",""
"832605","51.9","20180920",""
"832606","51.9","20180920",""
"832607","51.9","20180920",""
"832608","51.9","20180920",""
"832609","54.9","20180920",""
"832610","52.9","20180920",""
"832611","52.9","20180920",""
"832612","52.9","20180920",""
"832613","49.9","20180920",""
"832614","52.9","20180920",""
"832615","52.9","20180920",""
"832616","52.9","20180920",""
"832617","52.9","20180920",""
"832618","55.9","20180920",""
"832619","55.9","20180920",""
"832620","55.9","20180920",""
"832621","55.9","20180920",""
"832622","49.9","20180920",""
"832623","52.9","20180920",""
"832624","52.9","20180920",""
"832625","52.9","20180920",""
"832626","52.9","20180920",""
"832627","55.9","20180920",""
"832628","55.9","20180920",""
"832629","55.9","20180920",""
"832630","55.9","20180920",""
"832631","55.9","20180920",""
"832632","49.9","20180920",""
"832633","49.9","20180920",""
"832634","49.9","20180920",""
"832635","54.9","20180920",""
"832636","54.9","20180920",""
"832637","54.9","20180920",""
"832638","54.9","20180920",""
"832639","55.9","20180920",""
"832640","55.9","20180920",""
"832641","55.9","20180920",""
"832642","49.9","20180920",""
"832643","54.9","20180920",""
"832644","54.9","20180920",""
"832645","54.9","20180920",""
"832646","54.9","20180920",""
"832647","55.9","20180920",""
"832648","55.9","20180920",""
"832649","55.9","20180920",""
"832650","49.9","20180920",""
"832651","49.9","20180920",""
"832652","49.9","20180920",""
"832653","52.9","20180920",""
"832654","52.9","20180920",""
"832655","52.9","20180920",""
"832656","52.9","20180920",""
