"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"123679","3.07","5293","20190101",""
"123680","3.07","5293","20190101",""
"123681","3.07","5293","20190101",""
"252516","0.75","5293","20190101",""
"252518","0.75","5293","20190101",""
"252520","0.75","5293","20190101",""
"444414","0.75","5293","20190101",""
"826735","0.83","5293","20190101",""
"318900","1.32","5293","20190101",""
"335818","23.05","5293","20190101",""
"826736","0.83","5293","20190101",""
"826737","0.83","5293","20190101",""
"826738","0.83","5293","20190101",""
"826739","0.83","5293","20190101",""
"296658","1.58","5293","20190101",""
"296660","1.58","5293","20190101",""
"832338","2.05","5293","20190101",""
"832339","2.05","5293","20190101",""
"175376","4.16","5293","20190101",""
"175385","4.16","5293","20190101",""
"227710","4.16","5293","20190101",""
"296666","4.16","5293","20190101",""
"296662","4.36","5293","20190101",""
"296663","4.36","5293","20190101",""
"835691","4.43","5293","20190101",""
"826744","5.08","5293","20190101",""
"826745","5.08","5293","20190101",""
"816312","5.32","5293","20190101",""
"816317","5.32","5293","20190101",""
"816318","5.32","5293","20190101",""
"835687","5.32","5293","20190101",""
"192400","3.07","5293","20190101",""
"215905","2.43","5293","20190101",""
"444415","0.75","5293","20190101",""
"444416","0.75","5293","20190101",""
"811021","0.75","5293","20190101",""
"811022","0.75","5293","20190101",""
"811023","0.75","5293","20190101",""
"811024","0.75","5293","20190101",""
"482142","12.85","5293","20190101",""
"482143","33.17","5293","20190101",""
"482148","12.85","5293","20190101",""
"482149","33.17","5293","20190101",""
"808752","23.86","5293","20190101",""
"808757","22.66","5293","20190101",""
"808758","20.88","5293","20190101",""
"808759","23.86","5293","20190101",""
"808760","23.86","5293","20190101",""
"808761","23.86","5293","20190101",""
"811025","0.75","5293","20190101",""
"811026","0.75","5293","20190101",""
"811027","6.01","5293","20190101",""
"811028","6.01","5293","20190101",""
"811029","6.01","5293","20190101",""
"811030","6.01","5293","20190101",""
"819934","6.01","5293","20190101",""
"819936","6.01","5293","20190101",""
"819937","6.01","5293","20190101",""
"819938","6.01","5293","20190101",""
"819939","6.01","5293","20190101",""
"812528","20.88","5293","20190101",""
"812633","4.44","5293","20190101",""
"812634","12.85","5293","20190101",""
"812635","4.44","5293","20190101",""
"812636","12.85","5293","20190101",""
"832340","6.01","5293","20190101",""
"832341","6.01","5293","20190101",""
"814289","3.96","5293","20190101",""
"814290","14.2","5293","20190101",""
"814291","25.85","5293","20190101",""
"814292","3.96","5293","20190101",""
"814293","14.2","5293","20190101",""
"814294","3.96","5293","20190101",""
"814295","13.81","5293","20190101",""
"814296","25.37","5293","20190101",""
"814297","44.13","5293","20190101",""
"814298","3.96","5293","20190101",""
"814299","14.2","5293","20190101",""
"814300","25.85","5293","20190101",""
"814301","3.96","5293","20190101",""
"814302","14.2","5293","20190101",""
"814303","25.85","5293","20190101",""
"814305","13.81","5293","20190101",""
"814306","25.37","5293","20190101",""
"814307","12.46","5293","20190101",""
"814309","34.58","5293","20190101",""
"814310","12.46","5293","20190101",""
"814311","34.58","5293","20190101",""
"814312","12.46","5293","20190101",""
"814313","34.58","5293","20190101",""
"814314","11.82","5293","20190101",""
"814315","24.06","5293","20190101",""
"814316","35.85","5293","20190101",""
"814317","12.28","5293","20190101",""
"814318","24.65","5293","20190101",""
"814319","39.03","5293","20190101",""
"814320","12.28","5293","20190101",""
"814321","24.65","5293","20190101",""
"814322","39.03","5293","20190101",""
"814323","13.56","5293","20190101",""
"814324","40.6","5293","20190101",""
"814325","13.81","5293","20190101",""
"814326","41.48","5293","20190101",""
"814327","13.56","5293","20190101",""
"814328","25.37","5293","20190101",""
"814329","38.96","5293","20190101",""
"814330","12.46","5293","20190101",""
"814331","34.58","5293","20190101",""
"814332","12.46","5293","20190101",""
"814333","34.58","5293","20190101",""
"814334","36.14","5293","20190101",""
"814335","36.14","5293","20190101",""
"814336","35.85","5293","20190101",""
"814337","36.14","5293","20190101",""
"814338","36.14","5293","20190101",""
"815429","39.03","5293","20190101",""
"450641","9.19","5293","20190101",""
"450642","9.7","5293","20190101",""
"812296","9.7","5293","20190101",""
"835686","9.7","5293","20190101",""
"816994","1.33","5293","20190101",""
"816995","1.33","5293","20190101",""
"816996","1.33","5293","20190101",""
"815430","39.03","5293","20190101",""
"819928","0.99","5293","20190101",""
"819929","0.99","5293","20190101",""
"819930","0.99","5293","20190101",""
"819931","2.59","5293","20190101",""
"819932","2.59","5293","20190101",""
"819933","2.59","5293","20190101",""
"832342","6.01","5293","20190101",""
"817432","38.96","5293","20190101",""
"444422","10.54","5293","20190101",""
"444425","10.54","5293","20190101",""
"175094","11.86","5293","20190101",""
"819940","39.03","5293","20190101",""
"819941","39.03","5293","20190101",""
"819942","39.03","5293","20190101",""
"819943","39.03","5293","20190101",""
"444380","11.86","5293","20190101",""
"444385","11.86","5293","20190101",""
"822748","0.85","5293","20190101",""
"822749","0.85","5293","20190101",""
"822750","0.85","5293","20190101",""
"822751","12.46","5293","20190101",""
"822752","34.58","5293","20190101",""
"822753","12.28","5293","20190101",""
"822754","39.03","5293","20190101",""
"822755","39.03","5293","20190101",""
"822756","39.03","5293","20190101",""
"444388","11.86","5293","20190101",""
"444417","11.86","5293","20190101",""
"444435","11.86","5293","20190101",""
