"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"144084","4.49","1667","20190101",""
"144085","4.49","1667","20190101",""
"144087","7.6","1667","20190101",""
"144088","7.6","1667","20190101",""
"144090","13.79","1667","20190101",""
"144091","13.79","1667","20190101",""
"232409","10.4","1667","20190101",""
"250734","5.07","1667","20190101",""
"250735","7.77","1667","20190101",""
"250740","2.26","1667","20190101",""
"307340","1.24","1667","20190101",""
"307341","1.07","1667","20190101",""
"307342","1.62","1667","20190101",""
"307350","1.52","1667","20190101",""
"307351","2.3","1667","20190101",""
"307352","3.21","1667","20190101",""
"316533","2.29","1667","20190101",""
"316534","3.46","1667","20190101",""
"316547","2.51","1667","20190101",""
"316550","2.09","1667","20190101",""
"316552","2.3","1667","20190101",""
"316598","3.41","1667","20190101",""
"316681","3.81","1667","20190101",""
"316682","4.43","1667","20190101",""
"322660","10.34","1667","20190101",""
"339763","4.92","1667","20190101",""
"339779","2.46","1667","20190101",""
"339780","1.25","1667","20190101",""
"345399","4.84","1667","20190101",""
"367823","11.29","1667","20190101",""
"381659","2.78","1667","20190101",""
"383668","2.6","1667","20190101",""
"422756","2.29","1667","20190101",""
"422757","2.3","1667","20190101",""
"422758","2.3","1667","20190101",""
"422761","3.46","1667","20190101",""
"422763","3.46","1667","20190101",""
"439561","0.9","1667","20190101",""
"439564","1.76","1667","20190101",""
"439565","1.16","1667","20190101",""
"442370","1.24","1667","20190101",""
"442372","1.22","1667","20190101",""
"442373","1.07","1667","20190101",""
"442374","1.05","1667","20190101",""
"442375","1.62","1667","20190101",""
"442376","1.59","1667","20190101",""
"445001","2.41","1667","20190101",""
"445002","3.37","1667","20190101",""
"449104","2.16","1667","20190101",""
"449105","1.72","1667","20190101",""
"449181","1.29","1667","20190101",""
"449186","1.94","1667","20190101",""
"449187","5.75","1667","20190101",""
"449188","1.48","1667","20190101",""
"449189","1.4","1667","20190101",""
"449191","1.12","1667","20190101",""
"449199","1.67","1667","20190101",""
"449976","1.1","1667","20190101",""
"449977","0.93","1667","20190101",""
"450190","1.54","1667","20190101",""
"475252","1.98","1667","20190101",""
"475253","1.63","1667","20190101",""
"475254","1.22","1667","20190101",""
"475255","1.26","1667","20190101",""
"475256","1.71","1667","20190101",""
"475257","0.97","1667","20190101",""
"475259","3.97","1667","20190101",""
"475262","1.9","1667","20190101",""
"475263","1.63","1667","20190101",""
"475271","4.07","1667","20190101",""
"475274","1.39","1667","20190101",""
"475276","1.19","1667","20190101",""
"475277","1.34","1667","20190101",""
"475279","1.42","1667","20190101",""
