"CODE","PA","FOU","DATE",""
"CODE Article","Prix Achat nombre","Fournisseur nombre pas nom","format : AAAAMMDD",""
"525061","0.6","12871","20200201",""
"525064","0.6","12871","20200201",""
"525065","0.6","12871","20200201",""
"525066","0.6","12871","20200201",""
"523581","0.72","12871","20200201",""
"287724","0.82","12871","20200201",""
"287725","0.82","12871","20200201",""
"287730","0.82","12871","20200201",""
"331834","0.82","12871","20200201",""
"350131","0.82","12871","20200201",""
"350132","0.82","12871","20200201",""
"484260","0.82","12871","20200201",""
"484270","0.82","12871","20200201",""
"484271","0.82","12871","20200201",""
"817499","0.82","12871","20200201",""
"843800","0.82","12871","20200201",""
"843801","0.82","12871","20200201",""
"287722","0.9","12871","20200201",""
"287726","0.9","12871","20200201",""
"287727","0.9","12871","20200201",""
"287729","0.9","12871","20200201",""
"287731","0.9","12871","20200201",""
"420978","0.65","12871","20200201",""
"420979","0.62","12871","20200201",""
"420980","0.62","12871","20200201",""
"420981","0.62","12871","20200201",""
"420982","1.25","12871","20200201",""
"420983","1.25","12871","20200201",""
"420984","1.25","12871","20200201",""
"420986","1.25","12871","20200201",""
"287733","0.9","12871","20200201",""
"331836","0.9","12871","20200201",""
"331839","0.9","12871","20200201",""
"350134","0.9","12871","20200201",""
"350135","0.9","12871","20200201",""
"350136","0.9","12871","20200201",""
"815971","0.9","12871","20200201",""
"817500","0.9","12871","20200201",""
"832273","0.9","12871","20200201",""
"815972","0.94","12871","20200201",""
"815976","0.94","12871","20200201",""
"350139","1.32","12871","20200201",""
"350137","1.42","12871","20200201",""
"350138","1.42","12871","20200201",""
"844552","1.59","12871","20200201",""
"844553","1.59","12871","20200201",""
"817155","21.24","12871","20200201",""
"817157","47.5","12871","20200201",""
"817169","40","12871","20200201",""
"844554","1.59","12871","20200201",""
"844555","1.59","12871","20200201",""
"819110","6.19","12871","20200201",""
"819111","9.99","12871","20200201",""
"819112","4.99","12871","20200201",""
"819113","14.99","12871","20200201",""
"819114","6.99","12871","20200201",""
"819116","5.69","12871","20200201",""
"819117","7.39","12871","20200201",""
"287735","1.97","12871","20200201",""
"825877","7.9","12871","20200201",""
"287737","1.97","12871","20200201",""
"832274","0.76","12871","20200201",""
"832275","0.76","12871","20200201",""
"473814","3.72","12871","20200201",""
"473818","3.72","12871","20200201",""
"525068","3.72","12871","20200201",""
"473831","4.03","12871","20200201",""
"525069","4.03","12871","20200201",""
"823679","5.42","12871","20200201",""
"844556","11.4","12871","20200201",""
"844557","11.4","12871","20200201",""
"844558","11.4","12871","20200201",""
"844559","11.4","12871","20200201",""
"844560","11.4","12871","20200201",""
"844566","11.63","12871","20200201",""
"844567","12.22","12871","20200201",""
"843822","15.44","12871","20200201",""
"844561","30.66","12871","20200201",""
"844562","30.66","12871","20200201",""
"844563","30.66","12871","20200201",""
"844564","30.66","12871","20200201",""
"844565","30.66","12871","20200201",""
"836415","59.04","12871","20200201",""
"844568","2.06","12871","20200201",""
"844569","2.06","12871","20200201",""
"844570","2.06","12871","20200201",""
"844571","2.06","12871","20200201",""
"844572","2.06","12871","20200201",""
"844573","2.13","12871","20200201",""
"844574","2.13","12871","20200201",""
"844575","2.13","12871","20200201",""
"844576","2.13","12871","20200201",""
"844577","2.13","12871","20200201",""
"844578","35.3","12871","20200201",""
"844579","35.3","12871","20200201",""
"844580","35.3","12871","20200201",""
"844581","35.3","12871","20200201",""
"844582","35.3","12871","20200201",""
"844583","35.3","12871","20200201",""
"844584","6.08","12871","20200201",""
"844585","6.08","12871","20200201",""
"844586","6.08","12871","20200201",""
"844587","6.08","12871","20200201",""
"844588","6.08","12871","20200201",""
"844589","6.08","12871","20200201",""
"844590","9.86","12871","20200201",""
"844591","46.06","12871","20200201",""
"844592","9.94","12871","20200201",""
"844593","39.26","12871","20200201",""
"844594","9.94","12871","20200201",""
"844595","39.26","12871","20200201",""
"844596","9.94","12871","20200201",""
"844597","39.26","12871","20200201",""
"844598","9.94","12871","20200201",""
"844599","39.26","12871","20200201",""
"844600","9.94","12871","20200201",""
"844601","39.26","12871","20200201",""
"003946","35.31","12871","20200201",""
"034778","35.31","12871","20200201",""
"060410","11.66","12871","20200201",""
"081337","11.71","12871","20200201",""
"195174","12.81","12871","20200201",""
"195190","39.36","12871","20200201",""
"247916","11.48","12871","20200201",""
"247918","11.48","12871","20200201",""
"247919","11.48","12871","20200201",""
"247920","11.48","12871","20200201",""
"247921","38.68","12871","20200201",""
"247924","38.68","12871","20200201",""
"247925","38.68","12871","20200201",""
"247926","38.68","12871","20200201",""
"265299","38.68","12871","20200201",""
"477465","36.88","12871","20200201",""
"477466","10.92","12871","20200201",""
"477467","36.88","12871","20200201",""
"477468","36.88","12871","20200201",""
"477471","36.88","12871","20200201",""
"477472","10.87","12871","20200201",""
"477473","41.15","12871","20200201",""
"477475","12.81","12871","20200201",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
"","","","",""
