"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
"","EAN13","REFPRO","SIGFOU","MOTCLE","NOMPRO","DESIGN1","DESIGN2","DESIGN_LONG","CODTVA","RAYON","SOUSRAYON","FAMILLE","GAMME","STATUT","CODBLOCAGE","NATURE","MARQUE","MDD","POIDSNET","UNICOL","POIDS","POIDS_INFO","VOLUME_INFO","D3E","PA","UNITE_ACHAT","NBUVC_ACHAT","QTEMIN","QOTITE","DATDEB_PA","PV","DATDEB_PV","PF_SIGTIE","PCESSION","UNITE_CESSION","NBUVC_CESSION","QTEMIN_CESSION","PV_PROMO","DATDEB_PV_PROMO","DATFIN_PV_PROMO","CIBLE_PROMO","MAGASIN_CREATION","CSS_PM","CSS_MM","CSS_GM","TYPOLOGIE","WEB","DATMAR","DATFINMAR","DLUO","SEGMENT_PRODUIT","DISPLAY","ACTION","CODPRO"
"","13 Caractères","16 Caractères","12 Caractères","16 Caractères","30 Caractères","40 Caractères","40 Caractères","1000 Caractères","1 Caractère","6 Caractères","6 Caractères","6 Caractères","6 Caractères","6 Caractères","3 Caractères","6 Caractères","12 Caractères/ MAJUSCULES SS ACCENT","6 Caractères","Nombre","1 Caractère","Nombre","40 Caractères","40 Caractères","Nombre","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy format Text","Nombre","Date dd/mm/yyyy format Text","12 Caractères","Nombre","3 Caractères","Nombre","Nombre","Nombre","Date dd/mm/yyyy en Text","Date dd/mm/yyyy format Text","12 Caractères","3 Caractères","Nombre","Nombre","Nombre","3 Caractères","1 Caractères","Date dd/mm/yyyy format Text","Date dd/mm/yyyy format Text","1 Caractères","12 Caractères","6 Caractères","12 Caractères","16 Caractères"
"","EAN 13 de l'article","Référence article chez le fournisseur","Code du fournisseur dans GCE","Mot clé GCE","Désgination courte (ticket de caisse)","Désignation article","Désignation article complément","Désignation longue pour le WEB","Code tva GCE (2:5,5% - 6:20% - 8:10%))","Code Rayon GCE","Codous Rayon GCE","Code Famille GCE","Code Gamme GCE (A, B, C,L)","Statut GCE (01, 02, 03, 04, 05)","Code blocage GCE (VC, VN)","Nature GCE (PERM, OSHOT, …)","Marque gérée dans GCE","O/N","En grammes ou litres","K pour KG, L pour Litrinon U","En grammes (emballage compris)","Complément d'information sur poids","Complément d'information sur volume","Taxe DEEE","Prix d'achat net","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités consommateurs","Quantité minimale pour commande vers Fournisseur","Multipluivant d'achat","Date d'application pa","Prix de vente TTC Enseigne","Date d'application pv","Code de la plateforme Animalis (PF0 ou CAM)","Prix de cession Magasin","U dans la plupart des cas (CAR, SAC, … sinon)","Si CAR ou SAC, alors combien d'unités cosommateurs","Quantité minimale pour commande magasin vers PF","Prix de vente TTC promo","Date d'application pv promo","Date de fin pv promo","Code du magasin dans GCE","Code du magasin dans GCE","CSS_Petit Magasin","CSS_Moyen Magasin","CSS_Grand Magasin","Vidi Inerte VIV pour Vivant","O si présent WEB","Date de mise en vente","Date de fin de mise en vente","O Si dluo","Segment N pour Naturel O pour Véto","O Si display","C pour création","Non renseigné en création / Obligatoire en modification"
"CODE ANIMALIS","O","O","O","O","O","O","N","N","O","O","O","O","O","O","O","O","O","O","O","O","N","N","N","N","O","O","N","O","N","O","O","O","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","","","","","O",""
"","2000001002299","0427625CDU003","100229","","16 BOUGIES NOMADES EN DISP","16 BOUGIES NOMADES EN DISP","16 BOUGIES NOMADES EN DISP","16 BOUGIES NOMADES EN DISP","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","63.68","U","","1","1","11/04/2019","143.2","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344454","0427642CDU0333","100229","","DEV CUP SENTEUR FASCINATION","DEV CUP SENTEUR FASCINATION","DEV CUP SENTEUR FASCINATION","DEV CUP SENTEUR FASCINATION","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.58","U","","6","6","11/04/2019","3.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344393","0427628CDU0333","100229","","DEV GALET FASCINATION","DEV GALET FASCINATION","DEV GALET FASCINATION","DEV GALET FASCINATION","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","0.98","U","","8","8","11/04/2019","1.99","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344317","04275000333","100229","","DEV GDE JARRE FASCINATION","DEV GDE JARRE FASCINATION","DEV GDE JARRE FASCINATION","DEV GDE JARRE FASCINATION","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","7.98","U","","2","2","11/04/2019","18.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344331","04275010333","100229","","DEV PTE JARRE FASCINATION","DEV PTE JARRE FASCINATION","DEV PTE JARRE FASCINATION","DEV PTE JARRE FASCINATION","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","3.98","U","","4","4","11/04/2019","8.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344355","04275020333","100229","","DEV VOTIVE FASCINATION","DEV VOTIVE FASCINATION","DEV VOTIVE FASCINATION","DEV VOTIVE FASCINATION","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.18","U","","12","12","11/04/2019","2.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344461","0427642CDU0334","100229","","DEV CUP SENTEUR MANDARINE EPI","DEV CUP SENTEUR MANDARINE EPI","DEV CUP SENTEUR MANDARINE EPI","DEV CUP SENTEUR MANDARINE EPI","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.58","U","","6","6","11/04/2019","3.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344409","0427628CDU0334","100229","","DEV GALET MANDARINE EPICEE","DEV GALET MANDARINE EPICEE","DEV GALET MANDARINE EPICEE","DEV GALET MANDARINE EPICEE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","0.98","U","","8","8","11/04/2019","1.99","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344324","04275000334","100229","","DEV GDE JARRE MANDARINE EPICEE","DEV GDE JARRE MANDARINE EPICEE","DEV GDE JARRE MANDARINE EPICEE","DEV GDE JARRE MANDARINE EPICEE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","7.98","U","","2","2","11/04/2019","18.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344348","04275010334","100229","","DEV PTE JARRE MANDARINE EPICEE","DEV PTE JARRE MANDARINE EPICEE","DEV PTE JARRE MANDARINE EPICEE","DEV PTE JARRE MANDARINE EPICEE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","3.98","U","","4","4","11/04/2019","8.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344362","04275020334","100229","","DEV VOTIVE MANDARINE EPICEE","DEV VOTIVE MANDARINE EPICEE","DEV VOTIVE MANDARINE EPICEE","DEV VOTIVE MANDARINE EPICEE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.18","U","","12","12","11/04/2019","2.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344492","0427629CDU0415","100229","","DEV CUP SENT MERVEILLE D'HIVER","DEV CUP SENT MERVEILLE D'HIVER","DEV CUP SENT MERVEILLE D'HIVER","DEV CUP SENT MERVEILLE D'HIVER","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.58","U","","6","6","11/04/2019","3.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344614","04276260415","100229","","DEV ELLIPSE 2M MERVEILLE D'HIV","DEV ELLIPSE 2M MERVEILLE D'HIV","DEV ELLIPSE 2M MERVEILLE D'HIV","DEV ELLIPSE 2M MERVEILLE D'HIV","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","6.78","U","","2","2","11/04/2019","16.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344553","04276240415","100229","","DEV ELLIPSE 4 M MERVEILLE D'HI","DEV ELLIPSE 4 M MERVEILLE D'HI","DEV ELLIPSE 4 M MERVEILLE D'HI","DEV ELLIPSE 4 M MERVEILLE D'HI","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","11.18","U","","2","2","11/04/2019","24.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344430","0427628CDU0415","100229","","DEV GALET  MERVEILLE D'HIVER","DEV GALET  MERVEILLE D'HIVER","DEV GALET  MERVEILLE D'HIVER","DEV GALET  MERVEILLE D'HIVER","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","0.98","U","","8","8","11/04/2019","1.99","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344508","0427629CDU0416","100229","","DEV CUP SENT POMME GIVREE","DEV CUP SENT POMME GIVREE","DEV CUP SENT POMME GIVREE","DEV CUP SENT POMME GIVREE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.58","U","","6","6","11/04/2019","3.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344621","04276260416","100229","","DEV ELLIPSE 2M POMME GIVREE","DEV ELLIPSE 2M POMME GIVREE","DEV ELLIPSE 2M POMME GIVREE","DEV ELLIPSE 2M POMME GIVREE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","6.78","U","","2","2","11/04/2019","16.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344560","04276240416","100229","","DEV ELLIPSE 4 M POMME GIVREE","DEV ELLIPSE 4 M POMME GIVREE","DEV ELLIPSE 4 M POMME GIVREE","DEV ELLIPSE 4 M POMME GIVREE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","11.18","U","","2","2","11/04/2019","24.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344447","0427628CDU0416","100229","","DEV GALET  POMME GIVREE","DEV GALET  POMME GIVREE","DEV GALET  POMME GIVREE","DEV GALET  POMME GIVREE","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","0.98","U","","8","8","11/04/2019","1.99","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344478","0427629CDU0405","100229","","DEV CUP SENT SAPIN DE NOEL","DEV CUP SENT SAPIN DE NOEL","DEV CUP SENT SAPIN DE NOEL","DEV CUP SENT SAPIN DE NOEL","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","1.58","U","","6","6","11/04/2019","3.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344591","04276260405","100229","","DEV ELLIPSE 2M SAPIN DE NOEL","DEV ELLIPSE 2M SAPIN DE NOEL","DEV ELLIPSE 2M SAPIN DE NOEL","DEV ELLIPSE 2M SAPIN DE NOEL","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","6.78","U","","2","2","11/04/2019","16.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344539","04276240405","100229","","DEV ELLIPSE 4 M SAPIN DE NOEL","DEV ELLIPSE 4 M SAPIN DE NOEL","DEV ELLIPSE 4 M SAPIN DE NOEL","DEV ELLIPSE 4 M SAPIN DE NOEL","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","11.18","U","","2","2","11/04/2019","24.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","5051276344416","0427628CDU0405","100229","","DEV GALET  SAPIN DE NOEL","DEV GALET  SAPIN DE NOEL","DEV GALET  SAPIN DE NOEL","DEV GALET  SAPIN DE NOEL","6","4","85","387","A","03","VC","OSHOT","HEART & HOME","","","","","","","","0.98","U","","8","8","11/04/2019","1.99","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
"","9316188079501","MCSF031","100229","","DEV M9 FIG 7 CM 091","DEV M9 FIG 7 CM 091","DEV M9 FIG 7 CM 091","DEV M9 FIG 7 CM 091","6","4","17","97","A","03","VC","OSHOT","MANI","","","","","","","","3.98","U","","3","3","11/04/2019","9.95","11/04/2019","","","","","","","","","","","1","1","1","","","","","","","","C",""
